track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KMLB20190601-2,KMLB20190601_092810_V06,0,0.483,1.200,61,56,14.540,5,51,14.540
KMLB20190601-2,KMLB20190601_092810_V06,2,0.879,1.200,61,7,35.598,5,7,25.622
KMLB20190601-2,KMLB20190601_092810_V06,4,1.318,1.200,60,0,0.066,0,0,0.066
KMLB20190601-2,KMLB20190601_092810_V06,6,1.802,1.200,32,0,0.070,0,0,0.070
KMLB20190601-2,KMLB20190601_092810_V06,7,2.417,1.200,32,0,0.070,0,0,0.070
KMLB20190601-2,KMLB20190601_092810_V06,8,3.120,1.200,31,0,0.068,0,0,0.068
KMLB20190601-4,KMLB20190601_094956_V06,0,0.483,1.200,2688,377,1149.899,146,358,1043.148
KMLB20190601-4,KMLB20190601_094956_V06,2,0.879,1.200,2686,51,251.259,91,45,201.972
KMLB20190601-4,KMLB20190601_094956_V06,4,1.318,1.200,2686,0,26.354,5,0,22.818
KMLB20190601-4,KMLB20190601_094956_V06,6,1.802,1.200,1342,0,1.737,0,0,1.737
KMLB20190601-4,KMLB20190601_094956_V06,7,2.417,1.200,1340,0,1.736,0,0,1.736
KMLB20190601-4,KMLB20190601_094956_V06,8,3.120,1.200,1341,0,1.739,0,0,1.739
KMLB20190601-4,KMLB20190601_094956_V06,9,3.999,1.200,1345,0,1.748,0,0,1.748
KMLB20190601-5,KMLB20190601_100252_V06,0,0.483,1.200,904,235,488.184,100,201,422.117
KMLB20190601-5,KMLB20190601_100252_V06,2,0.879,1.200,901,34,221.314,92,24,160.185
KMLB20190601-5,KMLB20190601_100252_V06,4,1.318,1.200,903,0,9.905,11,0,5.301
KMLB20190601-5,KMLB20190601_100252_V06,6,1.802,1.200,444,0,1.940,0,0,1.940
KMLB20190601-5,KMLB20190601_100252_V06,7,2.417,1.200,444,0,2.019,0,0,2.019
KMLB20190601-5,KMLB20190601_100252_V06,8,3.120,1.200,443,0,0.546,0,0,0.546
KMLB20190601-5,KMLB20190601_100252_V06,9,3.999,1.200,444,0,0.548,0,0,0.548
KMLB20190602-1,KMLB20190602_095141_V06,0,0.483,1.200,10137,4301,1947.098,287,4257,1870.360
KMLB20190602-1,KMLB20190602_095141_V06,2,0.879,1.200,10140,2216,1640.444,436,2195,1547.622
KMLB20190602-1,KMLB20190602_095141_V06,4,1.318,1.200,10143,1216,662.035,573,1199,587.066
KMLB20190602-1,KMLB20190602_095141_V06,6,1.802,1.200,5077,173,265.437,243,151,201.692
KMLB20190602-1,KMLB20190602_095141_V06,7,2.417,1.200,5079,5,56.565,144,3,33.117
KMLB20190602-1,KMLB20190602_095141_V06,8,3.120,1.200,5088,0,20.562,87,0,11.540
KMLB20190602-1,KMLB20190602_095141_V06,9,3.999,1.200,5092,0,12.544,43,0,9.093
KMLB20190602-1,KMLB20190602_095141_V06,10,5.098,1.200,5093,0,6.879,22,0,5.828
KMLB20190602-1,KMLB20190602_095141_V06,11,6.416,1.200,5109,0,4.039,0,0,4.039
KMLB20190603-4,KMLB20190603_101713_V06,0,0.483,1.200,2607,1174,1109.961,239,1121,979.272
KMLB20190603-4,KMLB20190603_101713_V06,2,0.879,1.200,2609,274,672.946,274,251,533.985
KMLB20190603-4,KMLB20190603_101713_V06,4,1.318,1.200,2607,2,90.548,81,2,70.830
KMLB20190603-4,KMLB20190603_101713_V06,6,1.802,1.200,1298,0,4.692,0,0,4.692
KMLB20190603-4,KMLB20190603_101713_V06,7,2.417,1.200,1296,0,1.682,0,0,1.682
KMLB20190603-4,KMLB20190603_101713_V06,8,3.120,1.200,1305,0,1.254,0,0,1.254
KMLB20190603-4,KMLB20190603_101713_V06,9,3.999,1.200,1304,0,1.254,0,0,1.254
KMLB20190603-4,KMLB20190603_101713_V06,10,5.098,1.200,1309,0,1.263,0,0,1.263
KMLB20190604-2,KMLB20190604_095211_V06,0,0.483,1.200,2698,1514,482.826,76,1500,466.185
KMLB20190604-2,KMLB20190604_095211_V06,2,0.879,1.200,2699,507,652.167,90,496,635.040
KMLB20190604-2,KMLB20190604_095211_V06,4,1.318,1.200,2700,43,258.783,226,41,235.779
KMLB20190604-2,KMLB20190604_095211_V06,6,1.802,1.200,1341,0,33.858,56,0,21.308
KMLB20190604-2,KMLB20190604_095211_V06,7,2.417,1.200,1343,0,58.737,168,0,22.340
KMLB20190604-2,KMLB20190604_095211_V06,8,3.120,1.200,1343,0,68.939,267,0,26.050
KMLB20190604-2,KMLB20190604_095211_V06,9,3.999,1.200,1344,0,7.135,38,0,3.665
KMLB20190604-2,KMLB20190604_095211_V06,10,5.098,1.200,1350,0,2.368,0,0,2.368
KMLB20190604-2,KMLB20190604_095211_V06,11,6.416,1.200,1352,0,1.067,0,0,1.067
KMLB20190604-2,KMLB20190604_100613_V06,0,0.483,1.200,8699,2947,2145.985,456,2877,2047.086
KMLB20190604-2,KMLB20190604_100613_V06,2,0.879,1.200,8703,1390,1797.565,462,1342,1705.852
KMLB20190604-2,KMLB20190604_100613_V06,4,1.318,1.200,8702,240,858.956,768,219,740.063
KMLB20190604-2,KMLB20190604_100613_V06,6,1.802,1.200,4355,21,266.786,449,11,141.615
KMLB20190604-2,KMLB20190604_100613_V06,7,2.417,1.200,4357,11,234.578,424,6,107.886
KMLB20190604-2,KMLB20190604_100613_V06,8,3.120,1.200,4360,0,227.514,653,0,113.515
KMLB20190604-2,KMLB20190604_100613_V06,9,3.999,1.200,4361,0,74.311,454,0,31.665
KMLB20190604-2,KMLB20190604_100613_V06,10,5.098,1.200,4367,0,55.959,352,0,24.589
KMLB20190604-2,KMLB20190604_100613_V06,11,6.416,1.200,4377,0,17.205,134,0,10.318
KMLB20190604-3,KMLB20190604_100613_V06,0,0.483,1.200,264,109,316.746,33,83,218.454
KMLB20190604-3,KMLB20190604_100613_V06,2,0.879,1.200,265,0,1.077,0,0,1.077
KMLB20190604-3,KMLB20190604_100613_V06,4,1.318,1.200,266,0,1.081,0,0,1.081
KMLB20190604-4,KMLB20190604_102653_V06,0,0.483,1.200,2145,1594,1761.227,155,1478,1442.223
KMLB20190604-4,KMLB20190604_102653_V06,2,0.879,1.200,2143,502,2535.931,146,423,2111.069
KMLB20190604-4,KMLB20190604_102653_V06,4,1.318,1.200,2148,5,58.878,8,2,30.554
KMLB20190604-4,KMLB20190604_102653_V06,6,1.802,1.200,1076,1,21.412,2,0,5.675
KMLB20190605-2,KMLB20190605_101529_V06,0,0.483,1.200,1205,489,812.785,26,481,779.581
KMLB20190605-2,KMLB20190605_101529_V06,2,0.879,1.200,1204,56,363.409,26,53,328.677
KMLB20190605-2,KMLB20190605_101529_V06,4,1.318,1.200,1203,0,2.726,0,0,2.726
KMLB20190605-2,KMLB20190605_101529_V06,6,1.802,1.200,607,0,1.222,0,0,1.222
KMLB20190605-2,KMLB20190605_101529_V06,7,2.417,1.200,605,0,1.219,0,0,1.219
KMLB20190605-2,KMLB20190605_101529_V06,8,3.120,1.200,608,0,1.227,0,0,1.227
KMLB20190605-2,KMLB20190605_102006_V06,0,0.483,1.200,3206,563,2140.648,160,525,1921.602
KMLB20190605-2,KMLB20190605_102006_V06,2,0.879,1.200,3206,96,674.223,67,83,584.072
KMLB20190605-2,KMLB20190605_102006_V06,4,1.318,1.200,3207,2,43.387,7,2,37.196
KMLB20190605-2,KMLB20190605_102006_V06,6,1.802,1.200,1604,0,3.217,0,0,3.217
KMLB20190605-2,KMLB20190605_102006_V06,7,2.417,1.200,1605,0,10.667,0,0,10.667
KMLB20190605-2,KMLB20190605_102006_V06,8,3.120,1.200,1608,0,3.235,0,0,3.235
KMLB20190607-5,KMLB20190607_101341_V06,0,0.483,1.200,30865,25265,200.953,13778,11807,180.227
KMLB20190607-5,KMLB20190607_101341_V06,2,0.879,1.200,30869,23943,256.739,15923,8805,207.544
KMLB20190607-5,KMLB20190607_101341_V06,4,1.318,1.200,30876,23399,265.273,13576,10509,236.428
KMLB20190607-5,KMLB20190607_101341_V06,6,1.802,1.200,15443,10866,213.614,7941,3896,135.458
KMLB20190607-5,KMLB20190607_101341_V06,7,2.417,1.200,15450,10480,172.891,8247,3484,96.890
KMLB20190607-5,KMLB20190607_101341_V06,8,3.120,1.200,15462,10402,142.005,8557,3280,66.144
KMLB20190607-5,KMLB20190607_101341_V06,9,3.999,1.200,15480,10369,114.517,9010,2745,46.156
KMLB20190607-5,KMLB20190607_101341_V06,10,5.098,1.200,15505,10353,109.590,9056,2627,40.933
KMLB20190607-5,KMLB20190607_101341_V06,11,6.416,1.200,15550,10176,99.144,9183,2317,37.904
KMLB20190607-5,KMLB20190607_101341_V06,12,7.998,1.200,15618,10246,87.961,8971,2399,39.295
KMLB20190607-5,KMLB20190607_101341_V06,13,10.020,1.200,15724,10044,64.997,9057,2093,30.162
KMLB20190607-5,KMLB20190607_101341_V06,14,11.997,1.200,15858,9651,63.185,8771,2049,31.133
KMLB20190607-5,KMLB20190607_101341_V06,15,14.019,1.200,16006,9411,60.141,9013,1841,29.039
KMLB20190607-5,KMLB20190607_101341_V06,16,16.699,1.200,16248,8918,52.367,8805,1713,25.556
KMLB20190607-5,KMLB20190607_101341_V06,17,19.512,1.200,16550,8878,62.579,9063,1687,29.230
KMLB20190607-5,KMLB20190607_101927_V06,0,0.483,1.200,48896,32513,945.475,16777,17305,845.660
KMLB20190607-5,KMLB20190607_101927_V06,2,0.879,1.200,48901,27905,991.372,21424,10046,799.231
KMLB20190607-5,KMLB20190607_101927_V06,4,1.318,1.200,48901,26678,793.104,16710,12964,665.896
KMLB20190607-5,KMLB20190607_101927_V06,6,1.802,1.200,24454,11891,517.674,11117,4138,290.194
KMLB20190607-5,KMLB20190607_101927_V06,7,2.417,1.200,24466,11430,358.939,10408,4148,180.725
KMLB20190607-5,KMLB20190607_101927_V06,8,3.120,1.200,24485,11164,275.727,10846,3485,130.555
KMLB20190607-5,KMLB20190607_101927_V06,9,3.999,1.200,24513,10948,207.550,10405,3308,91.837
KMLB20190607-5,KMLB20190607_101927_V06,10,5.098,1.200,24564,10786,155.086,10131,3039,65.561
KMLB20190607-5,KMLB20190607_101927_V06,11,6.416,1.200,24633,10641,136.204,10151,2810,50.630
KMLB20190607-5,KMLB20190607_101927_V06,12,7.998,1.200,24721,10577,148.129,10294,2692,58.718
KMLB20190607-5,KMLB20190607_101927_V06,13,10.020,1.200,24880,10241,150.229,10287,2353,63.824
KMLB20190607-5,KMLB20190607_101927_V06,14,11.997,1.200,25076,9797,129.831,9977,2312,61.573
KMLB20190607-5,KMLB20190607_101927_V06,15,14.019,1.200,25291,9507,115.266,9869,2292,51.435
KMLB20190607-5,KMLB20190607_101927_V06,16,16.699,1.200,25648,9038,99.136,9725,2342,42.443
KMLB20190607-5,KMLB20190607_101927_V06,17,19.512,1.200,26138,9014,100.336,9618,2340,45.879
KMLB20190607-5,KMLB20190607_102515_V06,0,0.483,1.200,51062,32058,970.511,16676,17554,850.758
KMLB20190607-5,KMLB20190607_102515_V06,2,0.879,1.200,51067,26559,1001.604,21166,9361,830.390
KMLB20190607-5,KMLB20190607_102515_V06,4,1.318,1.200,51070,25081,806.121,18410,10803,649.437
KMLB20190607-5,KMLB20190607_102515_V06,6,1.802,1.200,25552,10740,539.256,12055,2665,299.669
KMLB20190607-5,KMLB20190607_102515_V06,7,2.417,1.200,25561,10047,389.955,11836,2341,185.854
KMLB20190607-5,KMLB20190607_102515_V06,8,3.120,1.200,25580,9679,329.000,12085,2141,126.261
KMLB20190607-5,KMLB20190607_102515_V06,9,3.999,1.200,25612,9465,260.261,11641,2059,80.780
KMLB20190607-5,KMLB20190607_102515_V06,10,5.098,1.200,25638,9152,200.363,11358,1803,50.829
KMLB20190607-5,KMLB20190607_102515_V06,11,6.416,1.200,25705,8912,180.527,11249,1671,36.108
KMLB20190607-5,KMLB20190607_102515_V06,12,7.998,1.200,25803,8657,189.849,10999,1515,43.851
KMLB20190607-5,KMLB20190607_102515_V06,13,10.020,1.200,25983,8421,155.775,10437,1448,65.112
KMLB20190607-5,KMLB20190607_102515_V06,14,11.997,1.200,26167,7881,151.564,10101,1507,55.399
KMLB20190607-5,KMLB20190607_102515_V06,15,14.019,1.200,26405,7438,161.110,10116,1455,51.598
KMLB20190607-5,KMLB20190607_102515_V06,16,16.699,1.200,26786,6793,167.671,9874,1215,55.740
KMLB20190607-5,KMLB20190607_102515_V06,17,19.512,1.200,27267,6182,195.339,9540,1073,65.538
KMLB20190607-5,KMLB20190607_103105_V06,0,0.483,1.200,41100,27046,448.562,13385,15504,370.987
KMLB20190607-5,KMLB20190607_103105_V06,2,0.879,1.200,41101,21277,510.900,16544,8277,408.506
KMLB20190607-5,KMLB20190607_103105_V06,4,1.318,1.200,41107,18675,455.897,16862,6614,342.179
KMLB20190607-5,KMLB20190607_103105_V06,6,1.802,1.200,20566,8227,361.374,9354,1972,227.502
KMLB20190607-5,KMLB20190607_103105_V06,7,2.417,1.200,20573,7447,275.108,9677,1488,134.006
KMLB20190607-5,KMLB20190607_103105_V06,8,3.120,1.200,20591,7071,212.897,9962,1421,81.649
KMLB20190607-5,KMLB20190607_103105_V06,9,3.999,1.200,20614,6639,169.814,9868,1011,49.033
KMLB20190607-5,KMLB20190607_103105_V06,10,5.098,1.200,20647,6155,128.340,9234,863,34.387
KMLB20190607-5,KMLB20190607_103105_V06,11,6.416,1.200,20695,5656,114.481,9031,757,31.808
KMLB20190607-5,KMLB20190607_103105_V06,12,7.998,1.200,20764,5168,108.280,8352,668,37.752
KMLB20190607-5,KMLB20190607_103105_V06,13,10.020,1.200,20912,4616,98.504,7667,669,31.045
KMLB20190607-5,KMLB20190607_103105_V06,14,11.997,1.200,21072,4120,98.355,7277,738,28.675
KMLB20190607-5,KMLB20190607_103105_V06,15,14.019,1.200,21265,3883,112.257,6773,867,40.795
KMLB20190607-5,KMLB20190607_103105_V06,16,16.699,1.200,21579,3673,138.468,6887,719,44.320
KMLB20190607-5,KMLB20190607_103105_V06,17,19.512,1.200,21973,3169,146.235,6676,644,54.383
KMLB20190607-2,KMLB20190607_092610_V06,0,0.483,1.200,4878,2038,444.466,1570,1060,308.541
KMLB20190607-2,KMLB20190607_092610_V06,2,0.879,1.200,4879,2349,266.725,2438,408,136.585
KMLB20190607-2,KMLB20190607_092610_V06,4,1.318,1.200,4879,2998,314.939,3520,141,65.002
KMLB20190607-2,KMLB20190607_092610_V06,6,1.802,1.200,2417,1263,182.276,1287,97,98.739
KMLB20190607-2,KMLB20190607_092610_V06,7,2.417,1.200,2418,1385,197.515,1504,53,56.603
KMLB20190607-2,KMLB20190607_092610_V06,8,3.120,1.200,2419,1493,215.723,1701,50,33.815
KMLB20190607-2,KMLB20190607_092610_V06,9,3.999,1.200,2426,1490,182.105,1686,35,24.189
KMLB20190607-2,KMLB20190607_092610_V06,10,5.098,1.200,2426,1415,180.475,1609,33,23.363
KMLB20190607-2,KMLB20190607_092610_V06,11,6.416,1.200,2432,1407,211.959,1568,66,59.078
KMLB20190607-2,KMLB20190607_092610_V06,12,7.998,1.200,2440,1437,141.824,1325,251,41.923
KMLB20190607-7,KMLB20190607_102515_V06,0,0.483,1.200,3465,693,702.682,870,73,306.825
KMLB20190607-7,KMLB20190607_102515_V06,2,0.879,1.200,3467,635,606.236,889,13,187.551
KMLB20190607-7,KMLB20190607_102515_V06,4,1.318,1.200,3465,591,482.552,799,16,130.132
KMLB20190607-7,KMLB20190607_102515_V06,6,1.802,1.200,1735,272,252.718,340,5,41.580
KMLB20190607-7,KMLB20190607_102515_V06,7,2.417,1.200,1737,224,169.281,262,5,27.300
KMLB20190607-7,KMLB20190607_102515_V06,8,3.120,1.200,1739,205,172.810,253,3,45.076
KMLB20190607-7,KMLB20190607_102515_V06,9,3.999,1.200,1742,202,197.901,213,45,57.783
KMLB20190607-12,KMLB20190607_110356_V06,0,0.483,1.200,4071,292,242.896,544,6,47.995
KMLB20190607-12,KMLB20190607_110356_V06,2,0.879,1.200,4066,330,200.629,526,3,38.302
KMLB20190607-12,KMLB20190607_110356_V06,4,1.318,1.200,4072,313,172.710,481,6,30.431
KMLB20190607-12,KMLB20190607_110356_V06,6,1.802,1.200,2039,138,130.202,193,2,26.617
KMLB20190607-12,KMLB20190607_110356_V06,7,2.417,1.200,2036,100,81.165,138,0,11.829
KMLB20190607-12,KMLB20190607_110356_V06,8,3.120,1.200,2039,66,61.366,91,0,10.252
KMLB20190607-12,KMLB20190607_110356_V06,9,3.999,1.200,2040,28,29.989,38,3,12.475
KMLB20190607-12,KMLB20190607_110356_V06,10,5.098,1.200,2046,11,40.591,28,0,9.227
KMLB20190609-3,KMLB20190609_101930_V06,0,0.483,1.200,2381,646,1266.640,98,626,1161.024
KMLB20190609-3,KMLB20190609_101930_V06,2,0.879,1.200,2381,118,519.068,39,111,471.425
KMLB20190609-3,KMLB20190609_101930_V06,4,1.318,1.200,2380,0,3.607,0,0,3.607
KMLB20190609-3,KMLB20190609_101930_V06,6,1.802,1.200,1193,0,2.245,0,0,2.245
KMLB20190609-3,KMLB20190609_101930_V06,7,2.417,1.200,1191,0,2.242,0,0,2.242
KMLB20190609-3,KMLB20190609_101930_V06,8,3.120,1.200,1193,0,2.249,0,0,2.249
KMLB20190609-3,KMLB20190609_101930_V06,9,3.999,1.200,1191,0,2.250,0,0,2.250
KMLB20190609-3,KMLB20190609_102348_V06,0,0.483,1.200,4589,639,1619.412,159,604,1441.340
KMLB20190609-3,KMLB20190609_102348_V06,2,0.879,1.200,4590,114,576.716,52,105,507.044
KMLB20190609-3,KMLB20190609_102348_V06,4,1.318,1.200,4589,0,6.824,0,0,6.824
KMLB20190609-3,KMLB20190609_102348_V06,6,1.802,1.200,2292,0,4.303,0,0,4.303
KMLB20190609-3,KMLB20190609_102348_V06,7,2.417,1.200,2296,0,4.313,0,0,4.313
KMLB20190609-3,KMLB20190609_102348_V06,8,3.120,1.200,2299,0,4.329,0,0,4.329
KMLB20190609-3,KMLB20190609_102348_V06,9,3.999,1.200,2299,0,4.336,0,0,4.336
KMLB20190610-1,KMLB20190610_092545_V06,0,0.483,1.200,10762,3881,1175.737,1538,2353,1073.883
KMLB20190610-1,KMLB20190610_092545_V06,2,0.879,1.200,10769,3537,1275.077,1901,1648,1152.221
KMLB20190610-1,KMLB20190610_092545_V06,4,1.318,1.200,10769,2460,1670.120,1438,1037,1506.892
KMLB20190610-5,KMLB20190610_102620_V06,0,0.483,1.200,17240,7622,4105.567,4678,3006,3608.895
KMLB20190610-5,KMLB20190610_102620_V06,2,0.879,1.200,17233,9460,5444.310,5787,3837,4229.558
KMLB20190610-5,KMLB20190610_102620_V06,4,1.318,1.200,17245,10561,6497.495,7649,3127,4849.355
KMLB20190612-1,KMLB20190612_100448_V06,0,0.483,1.200,483,223,202.107,24,208,187.235
KMLB20190612-1,KMLB20190612_100448_V06,2,0.879,1.200,483,7,165.194,14,7,150.319
KMLB20190612-1,KMLB20190612_100448_V06,4,1.318,1.200,486,0,0.454,0,0,0.454
KMLB20190612-1,KMLB20190612_100448_V06,6,1.802,1.200,240,0,0.449,0,0,0.449
KMLB20190612-1,KMLB20190612_100448_V06,7,2.417,1.200,239,0,0.447,0,0,0.447
KMLB20190612-1,KMLB20190612_100448_V06,8,3.120,1.200,242,0,0.454,0,0,0.454
KMLB20190612-1,KMLB20190612_100448_V06,9,3.999,1.200,242,0,0.454,0,0,0.454
KMLB20190612-1,KMLB20190612_100927_V06,0,0.483,1.200,1592,412,753.993,60,400,671.592
KMLB20190612-1,KMLB20190612_100927_V06,2,0.879,1.200,1592,34,264.521,13,34,252.721
KMLB20190612-1,KMLB20190612_100927_V06,4,1.318,1.200,1593,0,2.521,0,0,2.521
KMLB20190612-1,KMLB20190612_100927_V06,6,1.802,1.200,797,0,1.481,0,0,1.481
KMLB20190612-1,KMLB20190612_100927_V06,7,2.417,1.200,798,0,1.484,0,0,1.484
KMLB20190612-1,KMLB20190612_100927_V06,8,3.120,1.200,799,0,1.487,0,0,1.487
KMLB20190612-1,KMLB20190612_100927_V06,9,3.999,1.200,802,0,1.498,0,0,1.498
KMLB20190612-1,KMLB20190612_101405_V06,0,0.483,1.200,1884,545,994.523,58,532,919.824
KMLB20190612-1,KMLB20190612_101405_V06,2,0.879,1.200,1886,71,434.359,38,66,393.953
KMLB20190612-1,KMLB20190612_101405_V06,4,1.318,1.200,1886,0,3.869,0,0,3.869
KMLB20190612-1,KMLB20190612_101405_V06,6,1.802,1.200,940,0,1.672,0,0,1.672
KMLB20190612-1,KMLB20190612_101405_V06,7,2.417,1.200,945,0,1.684,0,0,1.684
KMLB20190612-1,KMLB20190612_101405_V06,8,3.120,1.200,942,0,1.679,0,0,1.679
KMLB20190612-1,KMLB20190612_101405_V06,9,3.999,1.200,944,0,1.687,0,0,1.687
KMLB20190612-1,KMLB20190612_101842_V06,0,0.483,1.200,2945,741,1518.490,118,709,1399.194
KMLB20190612-1,KMLB20190612_101842_V06,2,0.879,1.200,2946,52,642.121,62,47,572.294
KMLB20190612-1,KMLB20190612_101842_V06,4,1.318,1.200,2944,0,8.009,2,0,4.946
KMLB20190612-1,KMLB20190612_101842_V06,6,1.802,1.200,1473,0,2.528,0,0,2.528
KMLB20190612-1,KMLB20190612_101842_V06,7,2.417,1.200,1473,0,16.432,2,0,6.965
KMLB20190612-1,KMLB20190612_101842_V06,8,3.120,1.200,1476,0,9.576,1,0,6.446
KMLB20190612-1,KMLB20190612_101842_V06,9,3.999,1.200,1480,0,2.549,0,0,2.549
KMLB20190612-2,KMLB20190612_103233_V06,0,0.483,1.200,4117,1723,3531.320,465,1566,2925.701
KMLB20190612-2,KMLB20190612_103233_V06,2,0.879,1.200,4115,197,1622.233,264,137,1316.971
KMLB20190612-2,KMLB20190612_103233_V06,4,1.318,1.200,4115,96,675.651,130,52,505.940
KMLB20190612-2,KMLB20190612_103233_V06,6,1.802,1.200,2054,4,140.176,18,1,62.170
KMLB20190612-2,KMLB20190612_103233_V06,7,2.417,1.200,2061,9,160.381,16,3,111.239
KMLB20190612-2,KMLB20190612_103233_V06,8,3.120,1.200,2063,0,69.129,6,0,47.885
KMLB20190613-2,KMLB20190613_093807_V06,0,0.483,1.200,4164,491,839.845,197,413,661.632
KMLB20190613-2,KMLB20190613_093807_V06,2,0.879,1.200,4166,62,388.231,151,30,234.238
KMLB20190613-2,KMLB20190613_093807_V06,4,1.318,1.200,4166,34,336.170,115,11,206.359
KMLB20190613-2,KMLB20190613_093807_V06,6,1.802,1.200,2085,7,124.120,23,3,82.445
KMLB20190613-2,KMLB20190613_093807_V06,7,2.417,1.200,2083,0,30.000,5,0,18.397
KMLB20190613-2,KMLB20190613_093807_V06,8,3.120,1.200,2088,0,66.602,10,0,46.318
KMLB20190613-2,KMLB20190613_093807_V06,9,3.999,1.200,2088,2,57.367,7,1,48.623
KMLB20190613-2,KMLB20190613_094224_V06,0,0.483,1.200,7600,789,1604.111,356,659,1312.285
KMLB20190613-2,KMLB20190613_094224_V06,2,0.879,1.200,7599,172,762.599,236,108,560.930
KMLB20190613-2,KMLB20190613_094224_V06,4,1.318,1.200,7605,60,549.931,180,29,386.529
KMLB20190613-2,KMLB20190613_094224_V06,6,1.802,1.200,3802,6,135.127,29,1,85.356
KMLB20190613-2,KMLB20190613_094224_V06,7,2.417,1.200,3802,4,111.202,28,2,66.055
KMLB20190613-2,KMLB20190613_094224_V06,8,3.120,1.200,3804,2,109.534,27,0,52.781
KMLB20190613-2,KMLB20190613_094224_V06,9,3.999,1.200,3811,3,127.545,30,1,65.167
KMLB20190613-3,KMLB20190613_101649_V06,0,0.483,1.200,10649,4747,2221.920,513,4443,1938.452
KMLB20190613-3,KMLB20190613_101649_V06,2,0.879,1.200,10655,1911,2228.668,663,1689,1846.471
KMLB20190613-3,KMLB20190613_101649_V06,4,1.318,1.200,10656,182,1303.392,603,90,889.212
KMLB20190613-3,KMLB20190613_101649_V06,6,1.802,1.200,5325,7,264.944,67,2,146.126
KMLB20190613-3,KMLB20190613_101649_V06,7,2.417,1.200,5327,1,99.899,38,1,55.242
KMLB20190613-3,KMLB20190613_101649_V06,8,3.120,1.200,5333,0,106.356,55,0,40.353
KMLB20190613-3,KMLB20190613_101649_V06,9,3.999,1.200,5333,4,181.037,55,1,110.525
KMLB20190613-3,KMLB20190613_102106_V06,0,0.483,1.200,14039,6210,2848.834,635,5865,2494.442
KMLB20190613-3,KMLB20190613_102106_V06,2,0.879,1.200,14050,3211,3003.929,885,2879,2535.433
KMLB20190613-3,KMLB20190613_102106_V06,4,1.318,1.200,14054,294,1603.082,812,161,1179.370
KMLB20190613-3,KMLB20190613_102106_V06,6,1.802,1.200,7025,8,309.599,93,5,181.444
KMLB20190613-3,KMLB20190613_102106_V06,7,2.417,1.200,7032,0,202.604,73,0,108.096
KMLB20190613-3,KMLB20190613_102106_V06,8,3.120,1.200,7033,3,200.365,80,1,83.598
KMLB20190613-3,KMLB20190613_102106_V06,9,3.999,1.200,7043,5,227.297,91,3,114.212
KMLB20190613-3,KMLB20190613_102523_V06,0,0.483,1.200,10871,6377,1829.307,545,6020,1614.949
KMLB20190613-3,KMLB20190613_102523_V06,2,0.879,1.200,10871,3467,2958.223,765,3180,2569.290
KMLB20190613-3,KMLB20190613_102523_V06,4,1.318,1.200,10873,371,1827.948,891,235,1408.899
KMLB20190613-3,KMLB20190613_102523_V06,6,1.802,1.200,5413,5,235.933,110,3,134.782
KMLB20190613-3,KMLB20190613_102523_V06,7,2.417,1.200,5418,1,175.590,55,1,110.003
KMLB20190613-3,KMLB20190613_102523_V06,8,3.120,1.200,5426,0,166.620,51,0,86.788
KMLB20190613-3,KMLB20190613_102523_V06,9,3.999,1.200,5423,12,248.006,83,5,143.338
KMLB20190613-3,KMLB20190613_102523_V06,10,5.098,1.200,5434,4,202.767,68,2,121.576
KMLB20190613-3,KMLB20190613_102940_V06,0,0.483,1.200,15613,8874,2742.938,866,8275,2463.041
KMLB20190613-3,KMLB20190613_102940_V06,2,0.879,1.200,15616,4683,4172.507,1168,4283,3551.495
KMLB20190613-3,KMLB20190613_102940_V06,4,1.318,1.200,15615,481,2424.418,1192,354,1880.899
KMLB20190613-3,KMLB20190613_102940_V06,6,1.802,1.200,7817,13,385.044,147,8,253.517
KMLB20190613-3,KMLB20190613_102940_V06,7,2.417,1.200,7820,10,289.973,77,7,201.290
KMLB20190613-3,KMLB20190613_102940_V06,8,3.120,1.200,7825,3,245.754,91,1,137.402
KMLB20190613-3,KMLB20190613_102940_V06,9,3.999,1.200,7825,7,303.263,120,5,154.128
KMLB20190613-3,KMLB20190613_102940_V06,10,5.098,1.200,7847,1,201.307,81,1,110.192
KMLB20190613-1,KMLB20190613_093331_V06,0,0.483,1.200,264,188,85.050,20,171,79.998
KMLB20190613-1,KMLB20190613_093331_V06,2,0.879,1.200,264,28,51.600,22,17,39.718
KMLB20190613-1,KMLB20190613_093331_V06,4,1.318,1.200,264,2,16.156,4,1,11.133
KMLB20190613-1,KMLB20190613_093331_V06,6,1.802,1.200,133,0,4.759,0,0,4.759
KMLB20190613-1,KMLB20190613_093331_V06,7,2.417,1.200,134,0,13.032,3,0,5.315
KMLB20190613-1,KMLB20190613_093331_V06,8,3.120,1.200,135,0,8.137,3,0,2.589
KMLB20190613-1,KMLB20190613_093331_V06,9,3.999,1.200,135,0,4.563,2,0,2.393
KMLB20190613-5,KMLB20190613_102523_V06,0,0.483,1.200,3637,577,1263.859,181,520,1109.855
KMLB20190613-5,KMLB20190613_102523_V06,2,0.879,1.200,3639,111,489.925,88,97,397.842
