track_id,filename,from_sunrise,det_score,x,y,r,lon,lat,radius,geo_dist,local_time,n_radar_pixels,n_refAbove40_pixels,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels
1,KHPX20200604_094122_V06,-49.407,0.096,243.792,429.322,26.072,-87.597,36.154,13036.030,70504.246,20200604_044122,479166,51,28375,0
1,KHPX20200604_094819_V06,-42.457,0.747,247.050,425.742,30.297,-87.579,36.170,15148.480,68218.138,20200604_044819,479166,56,33236,1
1,KHPX20200604_100211_V06,-28.590,0.548,258.550,412.752,31.035,-87.516,36.228,15517.271,60064.942,20200604_050211,479165,22,44669,0
1,KHPX20200604_100904_V06,-21.707,0.134,262.287,405.379,32.156,-87.495,36.262,16078.157,55962.219,20200604_050904,479165,41,59597,0
1,KHPX20200604_101513_V06,-15.557,-1.000,265.961,398.990,33.060,-87.474,36.290,16530.232,52339.455,20200604_051513,479167,48,61223,1
1,KHPX20200604_102113_V06,-9.557,0.339,276.898,389.429,41.417,-87.414,36.334,20708.539,46182.340,20200604_052113,479175,54,59511,1
18,KHPX20200604_114050_V06,70.060,0.066,375.152,309.371,17.221,-86.865,36.694,8610.359,37867.104,20200604_064050,479160,135,65020,0
18,KHPX20200604_114647_V06,76.010,0.154,377.694,308.536,24.307,-86.850,36.697,12153.384,39080.535,20200604_064647,479168,144,63441,0
2,KHPX20200604_094819_V06,-42.457,0.188,514.375,457.733,9.823,-86.096,36.020,4911.377,133075.527,20200604_044819,479166,56,33236,1
7,KHPX20200604_102713_V06,-3.557,0.103,272.689,296.724,24.036,-87.438,36.751,12018.013,13753.418,20200604_052713,479166,13,57049,0
12,KHPX20200604_111431_V06,43.743,0.064,339.706,393.504,16.757,-87.064,36.315,8378.387,50792.733,20200604_061431,479170,39,62315,0
16,KHPX20200604_113440_V06,63.893,0.060,339.483,192.634,8.177,-87.063,37.220,4088.318,57197.677,20200604_063440,479164,125,65115,1
2,KHPX20200606_112907_V06,58.774,0.068,20.978,73.687,22.433,-88.868,37.746,11216.299,179632.461,20200606_062907,479168,0,58424,0
6,KHPX20200609_093935_V06,-50.331,0.276,201.852,363.089,16.134,-87.832,36.451,8067.049,58337.584,20200609_043935,479169,71,86637,0
6,KHPX20200609_094559_V06,-43.931,0.428,201.757,358.598,22.905,-87.833,36.471,11452.311,57195.781,20200609_044559,479174,90,88854,3
6,KHPX20200609_095211_V06,-37.731,0.209,203.084,342.746,20.053,-87.826,36.543,10026.651,52962.358,20200609_045211,479168,67,94293,2
1,KHPX20200609_093312_V06,-56.715,0.214,396.277,102.075,10.048,-86.740,37.627,5024.181,110049.363,20200609_043312,479168,69,85849,2
11,KHPX20200609_101040_V06,-19.248,0.058,223.258,462.364,27.109,-87.711,36.004,13554.324,89793.288,20200609_051040,479164,48,113618,6
17,KHPX20200609_110246_V06,32.852,0.233,262.063,115.739,11.226,-87.500,37.567,5612.976,94062.849,20200609_060246,479171,606,163712,23
4,KHPX20200610_093839_V06,-51.180,0.064,378.353,386.784,14.333,-86.849,36.345,7166.349,58460.899,20200610_043839,479170,3,51050,1
2,KHPX20200611_103814_V06,8.459,0.062,427.800,307.078,2.845,-86.570,36.703,1422.592,63998.084,20200611_053814,479172,3,39132,2
2,KHPX20200611_104516_V06,15.493,0.228,427.750,307.189,10.247,-86.570,36.702,5123.443,63976.289,20200611_054516,479169,3,37867,3
1,KHPX20200611_103111_V06,1.409,0.120,202.391,357.387,2.312,-87.830,36.477,1156.065,56614.247,20200611_053111,479167,2,39943,2
4,KHPX20200611_104516_V06,15.493,0.091,451.200,247.588,2.248,-86.436,36.970,1124.035,80013.269,20200611_054516,479169,3,37867,3
2,KHPX20200612_111312_V06,43.453,0.067,29.672,411.158,39.625,-88.788,36.226,19812.437,146144.817,20200612_061312,479166,14,28544,8
2,KHPX20200612_112026_V06,50.686,0.052,29.271,412.785,47.515,-88.791,36.219,23757.691,146641.267,20200612_062026,479165,10,26253,10
1,KHPX20200612_102951_V06,0.103,0.055,270.275,341.419,23.781,-87.451,36.550,11890.503,25490.831,20200612_052951,479171,28,27828,18
17,KHPX20200613_110407_V06,34.368,0.231,216.957,232.346,27.461,-87.752,37.041,13730.289,53556.402,20200613_060407,479168,33,30937,17
17,KHPX20200613_111105_V06,41.335,0.079,218.937,233.392,35.018,-87.741,37.036,17509.120,52458.840,20200613_061105,479168,13,28770,6
17,KHPX20200613_111804_V06,48.318,0.068,222.327,230.673,41.037,-87.722,37.048,20518.556,52056.012,20200613_061804,479168,10,27911,9
6,KHPX20200613_100150_V06,-27.915,0.127,148.242,290.743,17.090,-88.135,36.775,8545.250,76019.867,20200613_050150,479163,6,35046,5
1,KHPX20200614_103254_V06,3.122,0.073,23.738,286.219,34.053,-88.833,36.789,17026.268,138302.848,20200614_053254,479172,10,48711,6
2,KHPX20200614_103254_V06,3.122,0.059,322.705,65.322,10.533,-87.156,37.794,5266.712,117887.001,20200614_053254,479172,10,48711,6
5,KHPX20200614_112816_V06,58.488,0.132,248.502,326.717,16.347,-87.573,36.616,8173.487,29007.696,20200614_062816,479168,435,66956,8
1,KHPX20200616_101535_V06,-14.339,0.569,222.126,168.283,16.267,-87.724,37.329,8133.511,76507.540,20200616_051535,479170,8,17025,7
1,KHPX20200617_101839_V06,-11.386,0.133,386.875,424.973,20.648,-86.802,36.173,10324.177,76101.291,20200617_051839,479167,3,16670,1
1,KHPX20200619_095152_V06,-38.478,0.165,397.159,427.160,13.219,-86.745,36.162,6609.728,80014.875,20200619_045152,479167,48,44207,1
1,KHPX20200619_100126_V06,-28.911,0.052,397.629,427.302,27.969,-86.742,36.162,13984.548,80214.101,20200619_050126,479169,43,38554,0
2,KHPX20200620_100531_V06,-25.022,0.063,364.212,495.289,37.336,-86.930,35.856,18668.182,102787.325,20200620_050531,479166,3,34272,3
2,KHPX20200624_100324_V06,-28.169,0.079,16.824,401.262,19.335,-88.861,36.270,9667.711,150368.598,20200624_050324,479165,10,35042,1
2,KHPX20200624_101037_V06,-20.952,0.164,20.258,399.779,29.413,-88.842,36.277,14706.401,148502.094,20200624_051037,479172,152,39136,1
2,KHPX20200624_101513_V06,-16.352,0.172,25.273,402.296,34.498,-88.814,36.266,17249.081,146576.898,20200624_051513,479166,280,37393,0
2,KHPX20200624_101959_V06,-11.586,0.104,32.272,397.052,34.320,-88.775,36.290,17160.055,142387.977,20200624_051959,479169,339,37429,0
2,KHPX20200624_102447_V06,-6.786,0.078,38.191,398.060,38.650,-88.742,36.286,19325.125,139785.105,20200624_052447,479166,342,39711,6
2,KHPX20200624_102934_V06,-2.002,0.072,44.837,398.417,39.975,-88.705,36.285,19987.305,136742.749,20200624_052934,479171,375,43780,5
1,KHPX20200624_094858_V06,-42.602,0.091,399.306,427.605,14.988,-86.733,36.160,7494.091,80846.775,20200624_044858,479164,0,33463,0
2,KHPX20200626_101325_V06,-18.814,0.930,401.937,423.381,24.162,-86.718,36.179,12080.820,80021.928,20200626_051325,479164,1,32045,1
2,KHPX20200626_102038_V06,-11.597,0.848,401.882,425.158,33.693,-86.719,36.171,16846.500,80691.364,20200626_052038,479167,4,29041,4
2,KHPX20200626_102752_V06,-4.364,0.717,403.871,427.958,39.312,-86.708,36.159,19656.231,82405.158,20200626_052752,479168,9,31914,9
1,KHPX20200626_094233_V06,-49.680,0.071,245.131,163.651,2.071,-87.595,37.351,1035.460,73487.423,20200626_044233,479165,1,23878,1
1,KHPX20200626_094947_V06,-42.447,0.139,246.628,164.544,10.335,-87.586,37.347,5167.407,72795.987,20200626_044947,479167,2,24071,1
3,KHPX20200626_101325_V06,-18.814,0.065,23.392,128.415,21.984,-88.849,37.499,10991.821,162752.307,20200626_051325,479164,1,32045,1
11,KHPX20200630_111118_V06,37.477,0.110,38.810,196.225,39.966,-88.756,37.195,19982.878,140525.611,20200630_061118,479162,9113,89271,370
12,KHPX20200630_111118_V06,37.477,0.057,208.794,402.361,23.622,-87.793,36.274,11810.883,68549.775,20200630_061118,479162,9113,89271,370
12,KHPX20200630_111718_V06,43.477,0.166,221.146,404.631,17.727,-87.724,36.264,8863.503,65508.551,20200630_061718,479173,8703,92456,475
16,KHPX20200630_111718_V06,43.477,0.150,289.276,110.079,23.664,-87.346,37.592,11831.779,95111.884,20200630_061718,479173,8703,92456,475
6,KHPX20200701_101531_V06,-18.757,0.074,250.446,168.619,4.339,-87.565,37.328,2169.739,70207.904,20200701_051531,479164,2132,75570,27
6,KHPX20200701_102029_V06,-13.791,0.665,251.189,169.039,9.643,-87.560,37.326,4821.482,69880.900,20200701_052029,479169,2273,71018,42
6,KHPX20200701_102526_V06,-8.841,0.594,252.814,170.838,11.888,-87.551,37.318,5943.861,68755.723,20200701_052526,479166,2451,67333,11
6,KHPX20200701_103024_V06,-3.874,0.076,247.869,176.693,23.340,-87.579,37.292,11669.863,66937.120,20200701_053024,479168,2504,65830,13
8,KHPX20200701_102029_V06,-13.791,0.633,341.614,69.188,21.159,-87.049,37.776,10579.475,117266.700,20200701_052029,479169,2273,71018,42
8,KHPX20200701_102526_V06,-8.841,0.764,344.173,69.361,25.497,-87.034,37.775,12748.624,117415.748,20200701_052526,479166,2451,67333,11
8,KHPX20200701_103024_V06,-3.874,0.763,347.598,68.145,26.200,-87.015,37.781,13099.893,118345.389,20200701_053024,479168,2504,65830,13
7,KHPX20200701_101531_V06,-18.757,0.068,118.451,220.345,15.855,-88.306,37.091,7927.696,99127.239,20200701_051531,479164,2132,75570,27
12,KHPX20200701_102029_V06,-13.791,0.057,413.999,255.140,37.230,-86.645,36.937,18615.227,61254.051,20200701_052029,479169,2273,71018,42
1,KHPX20200702_102136_V06,-13.145,0.886,230.949,171.409,13.850,-87.674,37.315,6925.007,72979.102,20200702_052136,479167,1,32226,1
1,KHPX20200702_102845_V06,-5.995,0.855,229.202,172.441,21.377,-87.684,37.311,10688.399,72944.580,20200702_052845,479168,0,37624,0
1,KHPX20200702_103552_V06,1.121,0.170,230.515,175.955,28.751,-87.677,37.295,14375.630,71090.076,20200702_053552,479167,0,41129,0
1,KHPX20200703_113206_V06,56.864,0.238,345.637,390.516,26.273,-87.031,36.329,13136.400,50685.123,20200703_063206,479170,9,43319,5
1,KHPX20200703_113919_V06,64.080,0.177,345.086,390.024,33.148,-87.034,36.331,16574.010,50341.321,20200703_063919,479165,8,41995,2
1,KHPX20200704_100642_V06,-29.046,0.076,445.520,255.143,4.933,-86.468,36.936,2466.610,76138.362,20200704_050642,479164,0,52501,0
1,KHPX20200704_101354_V06,-21.846,0.226,444.363,255.625,14.372,-86.475,36.934,7185.815,75514.442,20200704_051354,479167,6,47935,5
1,KHPX20200704_102107_V06,-14.630,0.085,442.458,255.678,17.475,-86.485,36.934,8737.727,74596.994,20200704_052107,479166,3,40668,3
2,KHPX20200704_103531_V06,-0.230,0.114,108.127,273.543,10.702,-88.361,36.851,5351.129,96844.354,20200704_053531,479164,15,50677,13
1,KHPX20200705_101550_V06,-20.442,0.810,443.648,254.999,9.505,-86.479,36.937,4752.380,75265.687,20200705_051550,479161,0,42583,0
1,KHPX20200705_102304_V06,-13.208,0.740,443.127,254.609,18.102,-86.482,36.938,9050.900,75076.023,20200705_052304,479168,2,37325,2
1,KHPX20200705_103017_V06,-5.992,0.233,442.347,252.342,25.650,-86.486,36.949,12824.807,75056.541,20200705_053017,479164,4,38278,2
5,KHPX20200706_101321_V06,-23.472,0.842,441.918,256.509,7.530,-86.489,36.930,3765.217,74216.403,20200706_051321,479164,2094,57647,13
5,KHPX20200706_101929_V06,-17.338,0.885,441.648,255.654,14.600,-86.490,36.934,7299.816,74213.561,20200706_051929,479166,2273,52838,9
5,KHPX20200706_102532_V06,-11.288,0.729,443.703,252.992,20.533,-86.478,36.946,10266.659,75598.309,20200706_052532,479167,2754,51138,12
5,KHPX20200706_103151_V06,-4.972,0.285,445.730,252.283,28.187,-86.467,36.949,14093.346,76671.613,20200706_053151,479157,3306,50989,18
1,KHPX20200706_093819_V06,-58.505,0.258,268.920,383.372,14.216,-87.458,36.361,7108.156,44488.298,20200706_043819,479170,464,45326,0
3,KHPX20200706_094532_V06,-51.288,0.118,209.703,58.648,9.099,-87.798,37.823,4549.345,128845.358,20200706_044532,479164,719,47233,1
10,KHPX20200706_101321_V06,-23.472,0.129,286.035,189.536,7.003,-87.364,37.234,3501.698,55671.750,20200706_051321,479164,2094,57647,13
11,KHPX20200706_101321_V06,-23.472,0.067,318.871,158.899,1.707,-87.178,37.372,853.546,71178.467,20200706_051321,479164,2094,57647,13
13,KHPX20200706_101929_V06,-17.338,0.091,232.756,172.207,16.186,-87.664,37.312,8092.928,72202.453,20200706_051929,479166,2273,52838,9
1,KHPX20200707_101518_V06,-22.086,0.352,447.494,255.275,12.410,-86.457,36.935,6205.147,77062.944,20200707_051518,479167,1,60503,0
1,KHPX20200707_102226_V06,-14.953,0.401,448.525,255.346,20.558,-86.451,36.935,10279.029,77546.245,20200707_052226,479170,1,52019,1
1,KHPX20200707_102938_V06,-7.753,0.200,448.528,256.573,23.430,-86.451,36.929,11714.979,77373.269,20200707_052938,479163,1,51383,1
2,KHPX20200707_101518_V06,-22.086,0.097,395.025,423.662,14.097,-86.757,36.178,7048.592,77977.509,20200707_051518,479167,1,60503,0
2,KHPX20200707_102226_V06,-14.953,0.257,394.328,424.355,21.692,-86.761,36.175,10846.211,78041.571,20200707_052226,479170,1,52019,1
3,KHPX20200707_105328_V06,16.081,0.052,25.920,156.392,34.265,-88.832,37.374,17132.683,154711.844,20200707_055328,479167,20,74960,18
1,KHPX20200708_101649_V06,-21.150,0.053,451.540,258.928,13.712,-86.435,36.919,6856.171,78503.840,20200708_051649,479162,10,49876,9
2,KHPX20200708_110008_V06,22.166,0.191,130.101,344.934,5.441,-88.234,36.530,2720.715,87870.270,20200708_060008,479165,28,51836,25
1,KHPX20200709_101544_V06,-22.831,0.857,449.349,252.595,16.953,-86.447,36.947,8476.341,78346.050,20200709_051544,479164,7,42596,7
1,KHPX20200709_102258_V06,-15.598,0.806,451.425,252.892,24.810,-86.435,36.946,12405.231,79291.671,20200709_052258,479162,2,35891,1
1,KHPX20200709_103011_V06,-8.381,0.434,456.536,253.356,31.212,-86.406,36.944,15606.236,81668.992,20200709_053011,479164,36,36092,35
2,KHPX20200709_102258_V06,-15.598,0.241,237.178,164.872,21.820,-87.639,37.345,10909.878,74508.743,20200709_052258,479162,2,35891,1
1,KHPX20200710_093925_V06,-59.761,0.503,402.212,429.886,12.227,-86.717,36.150,6113.636,82640.278,20200710_043925,479163,31,39598,0
1,KHPX20200710_094356_V06,-55.244,0.921,403.799,428.846,17.564,-86.708,36.155,8782.187,82727.613,20200710_044356,479171,59,39849,1
1,KHPX20200710_094827_V06,-50.727,0.918,405.498,428.006,23.370,-86.699,36.158,11684.979,82938.834,20200710_044827,479169,58,40037,1
1,KHPX20200710_095257_V06,-46.227,0.913,407.829,426.804,28.515,-86.686,36.164,14257.501,83225.772,20200710_045257,479160,45,39738,1
1,KHPX20200710_100206_V06,-37.077,0.737,411.157,429.298,30.595,-86.667,36.152,15297.625,85255.366,20200710_050206,479169,20,38457,1
1,KHPX20200710_100638_V06,-32.544,0.474,411.420,423.760,38.650,-86.666,36.177,19325.216,83262.916,20200710_050638,479167,14,38008,1
2,KHPX20200710_100638_V06,-32.544,0.138,453.687,255.294,8.626,-86.422,36.935,4313.244,80028.475,20200710_050638,479167,14,38008,1
2,KHPX20200710_101110_V06,-28.011,0.440,454.564,254.351,15.493,-86.417,36.939,7746.669,80582.132,20200710_051110,479168,6,37437,1
2,KHPX20200710_101540_V06,-23.511,0.340,457.346,250.416,19.444,-86.402,36.957,9722.054,82486.875,20200710_051540,479167,11,36066,7
2,KHPX20200710_102011_V06,-18.994,0.601,457.850,251.545,19.382,-86.399,36.952,9690.857,82559.771,20200710_052011,479166,13,34145,11
2,KHPX20200710_102439_V06,-14.527,0.465,460.802,250.888,24.515,-86.382,36.955,12257.399,84067.362,20200710_052439,479164,5,32701,2
2,KHPX20200710_102906_V06,-10.077,0.065,462.030,251.458,33.537,-86.375,36.952,16768.673,84572.229,20200710_052906,479168,8,35921,8
3,KHPX20200710_101540_V06,-23.511,0.152,247.554,166.440,14.235,-87.581,37.338,7117.355,71743.829,20200710_051540,479167,11,36066,7
3,KHPX20200710_102011_V06,-18.994,0.055,247.983,166.615,20.771,-87.578,37.337,10385.689,71584.203,20200710_052011,479166,13,34145,11
4,KHPX20200711_101056_V06,-28.872,0.856,234.399,184.079,11.540,-87.655,37.258,5770.123,66598.064,20200711_051056,479166,7,54119,6
4,KHPX20200711_101810_V06,-21.639,0.764,236.083,186.095,18.809,-87.645,37.249,9404.534,65306.202,20200711_051810,479165,30,45920,30
4,KHPX20200711_102523_V06,-14.422,0.062,239.116,188.225,21.586,-87.628,37.240,10792.750,63640.526,20200711_052523,479167,33,36352,32
1,KHPX20200711_100344_V06,-36.072,0.467,446.468,261.365,9.094,-86.463,36.908,4546.913,75738.812,20200711_050344,479161,0,58113,0
1,KHPX20200711_101056_V06,-28.872,0.403,449.329,261.409,15.788,-86.447,36.908,7894.084,77117.294,20200711_051056,479166,7,54119,6
1,KHPX20200711_101810_V06,-21.639,-1.000,451.905,261.448,23.009,-86.433,36.907,11504.452,78360.096,20200711_051810,479165,30,45920,30
1,KHPX20200711_102523_V06,-14.422,0.189,450.264,264.930,14.038,-86.442,36.892,7018.921,77151.042,20200711_052523,479167,33,36352,32
3,KHPX20200711_100344_V06,-36.072,0.070,281.054,201.391,9.849,-87.392,37.181,4924.587,50206.236,20200711_050344,479161,0,58113,0
3,KHPX20200711_101056_V06,-28.872,0.168,281.878,200.577,16.538,-87.387,37.185,8269.193,50530.563,20200711_051056,479166,7,54119,6
2,KHPX20200711_100344_V06,-36.072,0.250,400.934,454.302,35.470,-86.725,36.040,17735.043,92191.389,20200711_050344,479161,0,58113,0
5,KHPX20200711_101056_V06,-28.872,0.078,30.745,71.716,17.945,-88.813,37.755,8972.666,176501.934,20200711_051056,479166,7,54119,6
6,KHPX20200711_101810_V06,-21.639,0.140,29.800,163.664,37.604,-88.810,37.341,18801.931,151323.614,20200711_051810,479165,30,45920,30
8,KHPX20200711_102523_V06,-14.422,0.143,329.456,334.012,5.279,-87.120,36.583,2639.618,22497.028,20200711_052523,479167,33,36352,32
9,KHPX20200711_103948_V06,-0.006,0.332,391.220,195.279,8.130,-86.771,37.207,4065.109,69440.037,20200711_053948,479164,45,41235,40
3,KHPX20200712_095216_V06,-48.182,0.212,513.647,77.708,67.338,-86.073,37.732,33668.766,154158.305,20200712_045216,479158,36043,295634,1216
13,KHPX20200712_103442_V06,-5.749,0.086,361.411,45.321,19.209,-86.936,37.884,9604.435,130989.421,20200712_053442,479165,29700,258505,713
28,KHPX20200712_120235_V06,82.135,0.402,388.418,325.670,28.446,-86.791,36.620,14222.939,46034.256,20200712_070235,479169,26940,188983,1182
1,KHPX20200713_101117_V06,-29.822,0.958,442.461,260.480,9.645,-86.486,36.912,4822.495,73920.227,20200713_051117,479167,5,42063,0
1,KHPX20200713_101830_V06,-22.606,0.944,442.134,261.703,16.498,-86.488,36.907,8249.187,73601.373,20200713_051830,479162,13,31713,12
1,KHPX20200713_102543_V06,-15.389,0.861,443.976,261.761,23.577,-86.477,36.906,11788.593,74483.877,20200713_052543,479165,13,27336,13
1,KHPX20200713_103256_V06,-8.172,0.351,445.079,263.514,31.760,-86.471,36.898,15880.239,74798.148,20200713_053256,479168,27,32607,27
2,KHPX20200713_101830_V06,-22.606,0.305,240.482,165.973,2.195,-87.621,37.340,1097.515,73323.824,20200713_051830,479162,13,31713,12
2,KHPX20200713_102543_V06,-15.389,0.165,239.281,166.690,11.888,-87.628,37.337,5943.882,73243.358,20200713_052543,479165,13,27336,13
2,KHPX20200713_103256_V06,-8.172,0.420,233.271,177.932,23.857,-87.661,37.286,11928.726,69558.124,20200713_053256,479168,27,32607,27
2,KHPX20200713_104010_V06,-0.939,0.122,231.281,179.488,31.720,-87.672,37.279,15860.103,69363.976,20200713_054010,479169,15,44322,13
8,KHPX20200713_102543_V06,-15.389,0.395,335.772,66.737,24.812,-87.082,37.787,12406.109,117994.871,20200713_052543,479165,13,27336,13
8,KHPX20200713_103256_V06,-8.172,0.669,337.978,68.343,31.195,-87.069,37.780,15597.296,117374.805,20200713_053256,479168,27,32607,27
7,KHPX20200713_101830_V06,-22.606,0.052,240.743,163.299,2.316,-87.619,37.352,1157.873,74495.772,20200713_051830,479162,13,31713,12
1,KHPX20200715_095130_V06,-50.959,0.758,389.374,423.106,14.931,-86.788,36.181,7465.307,76063.842,20200715_045130,479162,0,34970,0
1,KHPX20200715_100556_V06,-36.526,0.696,390.572,424.455,19.969,-86.782,36.175,9984.405,76961.336,20200715_050556,479167,5,44187,3
1,KHPX20200715_101308_V06,-29.326,0.285,392.726,424.385,24.142,-86.770,36.175,12071.215,77572.146,20200715_051308,479162,1,44672,1
1,KHPX20200715_102021_V06,-22.109,0.304,396.770,422.492,22.944,-86.747,36.184,11471.878,78052.096,20200715_052021,479165,16,38353,12
1,KHPX20200715_102733_V06,-14.909,-1.000,400.316,421.048,22.949,-86.727,36.190,11474.310,78606.663,20200715_052733,479163,17,30114,15
1,KHPX20200715_103446_V06,-7.692,0.747,389.196,423.468,24.410,-86.789,36.179,12205.065,76158.363,20200715_053446,479168,27,29699,27
1,KHPX20200715_104159_V06,-0.476,0.593,385.925,423.864,27.018,-86.807,36.178,13508.853,75374.834,20200715_054159,479165,62,37861,61
1,KHPX20200715_104912_V06,6.741,0.051,385.872,421.402,31.367,-86.808,36.189,15683.363,74351.405,20200715_054912,479165,38,44175,36
3,KHPX20200715_101308_V06,-29.326,0.355,244.077,159.816,3.562,-87.601,37.368,1781.071,75463.321,20200715_051308,479162,1,44672,1
3,KHPX20200715_102021_V06,-22.109,0.967,234.619,163.533,16.763,-87.654,37.351,8381.652,75660.484,20200715_052021,479165,16,38353,12
3,KHPX20200715_102733_V06,-14.909,0.882,235.477,161.325,26.660,-87.649,37.361,13330.135,76475.555,20200715_052733,479163,17,30114,15
3,KHPX20200715_103446_V06,-7.692,0.157,235.830,159.953,32.628,-87.647,37.367,16314.217,77024.141,20200715_053446,479168,27,29699,27
2,KHPX20200715_101308_V06,-29.326,0.829,444.601,251.437,10.483,-86.473,36.953,5241.444,76269.042,20200715_051308,479162,1,44672,1
2,KHPX20200715_102021_V06,-22.109,0.722,445.259,251.288,17.796,-86.470,36.953,8898.238,76604.797,20200715_052021,479165,16,38353,12
2,KHPX20200715_102733_V06,-14.909,0.056,445.050,249.629,24.035,-86.471,36.961,12017.285,76773.592,20200715_052733,479163,17,30114,15
1,KHPX20200716_102939_V06,-13.504,0.120,250.977,172.913,7.534,-87.561,37.309,3766.756,68107.009,20200716_052939,479170,5,41647,4
1,KHPX20200716_103419_V06,-8.838,0.061,250.897,171.438,16.002,-87.562,37.316,8001.141,68810.061,20200716_053419,479167,2,38391,2
1,KHPX20200716_104125_V06,-1.738,0.074,244.342,163.771,35.944,-87.599,37.350,17971.862,73580.339,20200716_054125,479168,31,41396,31
1,KHPX20200716_104823_V06,5.229,0.327,270.531,164.502,37.997,-87.451,37.347,18998.461,69332.787,20200716_054823,479164,32,41188,32
6,KHPX20200717_102722_V06,-16.494,0.795,245.223,157.575,6.781,-87.594,37.378,3390.434,76297.631,20200717_052722,479163,75,26644,16
6,KHPX20200717_103435_V06,-9.278,0.883,249.888,156.480,16.868,-87.568,37.383,8434.178,76008.743,20200717_053435,479173,61,23981,9
6,KHPX20200717_104133_V06,-2.311,0.823,254.052,156.495,27.816,-87.544,37.383,13907.975,75340.993,20200717_054133,479165,58,29917,6
6,KHPX20200717_104846_V06,4.906,0.172,261.695,152.096,32.492,-87.501,37.403,16245.951,76391.787,20200717_054846,479163,213,37847,14
5,KHPX20200717_102722_V06,-16.494,0.805,401.595,426.720,17.110,-86.720,36.164,8554.817,81208.847,20200717_052722,479163,75,26644,16
5,KHPX20200717_103435_V06,-9.278,0.956,403.011,425.998,26.670,-86.713,36.168,13334.997,81373.830,20200717_053435,479173,61,23981,9
5,KHPX20200717_104133_V06,-2.311,0.709,403.994,425.975,33.114,-86.707,36.168,16557.084,81676.909,20200717_054133,479165,58,29917,6
9,KHPX20200717_103435_V06,-9.278,0.184,362.309,45.115,13.653,-86.931,37.884,6826.252,131195.214,20200717_053435,479173,61,23981,9
9,KHPX20200717_104133_V06,-2.311,0.231,362.870,44.753,22.949,-86.928,37.886,11474.410,131438.009,20200717_054133,479165,58,29917,6
1,KHPX20200718_094850_V06,-55.745,0.444,398.012,424.835,15.141,-86.740,36.173,7570.673,79357.141,20200718_044850,479162,0,30761,0
1,KHPX20200718_100304_V06,-41.512,0.661,402.544,425.906,27.558,-86.715,36.168,13779.075,81190.490,20200718_050304,479167,1,30665,1
1,KHPX20200718_101018_V06,-34.278,0.407,407.916,426.913,32.505,-86.685,36.163,16252.534,83295.668,20200718_051018,479171,0,31859,0
1,KHPX20200718_101730_V06,-27.078,0.102,416.167,418.804,44.408,-86.639,36.200,22203.830,83080.218,20200718_051730,479166,0,31448,0
1,KHPX20200718_102443_V06,-19.862,0.947,398.651,426.299,16.195,-86.737,36.166,8097.485,80130.418,20200718_052443,479163,23,27753,22
1,KHPX20200718_103156_V06,-12.645,0.980,401.648,426.303,27.466,-86.720,36.166,13732.960,81062.926,20200718_053156,479167,22,29361,22
1,KHPX20200718_103902_V06,-5.545,0.845,411.680,430.981,29.413,-86.665,36.145,14706.572,86064.521,20200718_053902,479165,12,35981,11
1,KHPX20200718_104605_V06,1.505,0.598,408.558,426.496,25.467,-86.682,36.165,12733.700,83345.891,20200718_054605,479166,3,42690,3
2,KHPX20200718_101730_V06,-27.078,0.873,448.951,248.938,16.771,-86.449,36.964,8385.334,78729.960,20200718_051730,479166,0,31448,0
2,KHPX20200718_102443_V06,-19.862,0.600,451.219,248.774,24.885,-86.436,36.964,12442.443,79829.856,20200718_052443,479163,23,27753,22
2,KHPX20200718_103156_V06,-12.645,0.230,456.701,244.455,33.407,-86.405,36.984,16703.680,83127.271,20200718_053156,479167,22,29361,22
2,KHPX20200718_103902_V06,-5.545,0.131,468.662,247.138,36.119,-86.338,36.971,18059.515,88375.981,20200718_053902,479165,12,35981,11
3,KHPX20200718_102443_V06,-19.862,0.968,242.070,166.590,16.947,-87.612,37.337,8473.293,72722.197,20200718_052443,479163,23,27753,22
3,KHPX20200718_103156_V06,-12.645,0.916,246.579,165.910,24.154,-87.586,37.340,12076.917,72169.905,20200718_053156,479167,22,29361,22
5,KHPX20200718_103156_V06,-12.645,0.918,366.154,180.511,15.264,-86.912,37.274,7631.805,68289.713,20200718_053156,479167,22,29361,22
5,KHPX20200718_103902_V06,-5.545,0.169,367.373,180.678,27.471,-86.905,37.274,13735.712,68514.348,20200718_053902,479165,12,35981,11
3,KHPX20200719_101151_V06,-33.456,0.730,450.132,251.122,8.833,-86.442,36.954,4416.718,78943.856,20200719_051151,479165,0,41867,0
3,KHPX20200719_101904_V06,-26.240,0.927,454.912,250.733,16.600,-86.415,36.955,8299.952,81278.836,20200719_051904,479165,5,40695,4
3,KHPX20200719_102617_V06,-19.023,0.911,460.604,249.319,27.205,-86.383,36.962,13602.572,84205.454,20200719_052617,479169,32,35574,32
3,KHPX20200719_103329_V06,-11.823,0.806,468.695,247.467,34.817,-86.338,36.970,17408.739,88342.518,20200719_053329,479165,2,33772,2
3,KHPX20200719_104042_V06,-4.606,0.214,481.851,244.409,40.652,-86.264,36.983,20326.201,95079.141,20200719_054042,479164,11,39579,10
7,KHPX20200719_101904_V06,-26.240,0.492,402.487,426.657,14.453,-86.715,36.165,7226.276,81463.936,20200719_051904,479165,5,40695,4
