track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KICX20200608-2,KICX20200608_112928_V06,0,0.176,1.200,20289,0,28885.084,500,0,10467.565
KICX20200608-2,KICX20200608_112928_V06,2,0.483,1.200,20296,0,44928.695,839,0,15011.593
KICX20200608-2,KICX20200608_112928_V06,4,0.879,1.200,20300,0,49778.097,876,0,20051.526
KICX20200608-2,KICX20200608_112928_V06,6,1.318,1.200,20289,0,14550.315,540,0,6297.589
KICX20200608-2,KICX20200608_113431_V06,0,0.176,1.200,24238,0,37714.259,665,0,14542.821
KICX20200608-2,KICX20200608_113431_V06,2,0.483,1.200,24239,0,42559.377,1062,0,15613.716
KICX20200608-2,KICX20200608_113431_V06,4,0.879,1.200,24252,0,49965.796,1140,0,19862.638
KICX20200608-2,KICX20200608_113431_V06,6,1.318,1.200,24251,0,17419.800,659,0,6864.290
KICX20200617-1,KICX20200617_111500_V06,0,0.176,1.200,2263,0,19.777,91,0,14.688
KICX20200617-1,KICX20200617_111500_V06,2,0.483,1.200,2265,0,24.159,135,0,15.503
KICX20200617-1,KICX20200617_111500_V06,4,0.879,1.200,2265,0,16.758,105,0,11.466
KICX20200617-1,KICX20200617_111500_V06,8,1.318,1.200,2266,0,29.184,134,0,22.213
KICX20200617-1,KICX20200617_111500_V06,10,1.802,1.200,1131,0,0.768,0,0,0.768
KICX20200617-1,KICX20200617_111500_V06,11,2.417,1.200,1132,0,1.522,11,0,1.026
KICX20200617-1,KICX20200617_111500_V06,12,3.120,1.200,1136,0,1.921,9,0,1.588
KICX20200617-1,KICX20200617_111500_V06,13,3.999,1.200,1139,0,2.171,14,0,1.321
KICX20200617-1,KICX20200617_111500_V06,14,5.098,1.200,1139,0,1.588,4,0,1.474
KICX20200617-1,KICX20200617_111500_V06,15,6.416,1.200,1141,0,1.217,7,0,0.864
KICX20200623-1,KICX20200623_122149_V06,0,0.176,1.200,2952,0,1545.156,520,0,1262.267
KICX20200623-1,KICX20200623_122149_V06,2,0.483,1.200,2952,0,1032.739,640,0,708.471
KICX20200623-1,KICX20200623_122149_V06,4,0.879,1.200,2952,0,184.567,234,0,118.204
KICX20200623-1,KICX20200623_122149_V06,8,1.318,1.200,2953,0,66.164,51,0,44.705
KICX20200623-1,KICX20200623_122149_V06,10,1.802,1.200,1476,0,3.045,0,0,3.045
KICX20200623-1,KICX20200623_122149_V06,11,2.417,1.200,1481,0,9.169,6,0,2.366
KICX20200623-1,KICX20200623_122149_V06,12,3.120,1.200,1482,0,8.639,6,0,4.257
KICX20200623-1,KICX20200623_122149_V06,13,3.999,1.200,1480,0,12.102,9,0,7.063
KICX20200623-1,KICX20200623_122149_V06,14,5.098,1.200,1480,0,15.190,4,0,11.694
KICX20200628-2,KICX20200628_112701_V06,0,0.176,1.200,2511,0,32899.336,342,0,2546.956
KICX20200628-2,KICX20200628_112701_V06,2,0.483,1.200,2514,0,148116.296,721,0,2533.346
KICX20200628-2,KICX20200628_112701_V06,4,0.879,1.200,2512,0,344310.123,1049,0,2325.615
KICX20200628-2,KICX20200628_112701_V06,6,1.318,1.200,2514,0,280373.305,1125,0,4184.618
KICX20200628-6,KICX20200628_120622_V06,0,0.176,1.200,3462,0,9.940,620,0,6.512
KICX20200628-6,KICX20200628_120622_V06,2,0.483,1.200,3462,0,7.226,576,0,4.771
KICX20200628-6,KICX20200628_120622_V06,4,0.879,1.200,3462,0,4.911,530,0,2.246
KICX20200628-6,KICX20200628_120622_V06,6,1.318,1.200,3461,0,4.293,414,0,1.946
KICX20200628-6,KICX20200628_120622_V06,10,1.802,1.200,1731,0,0.360,65,0,0.249
KICX20200628-6,KICX20200628_120622_V06,11,2.417,1.200,1733,0,0.534,104,0,0.333
KICX20200628-6,KICX20200628_120622_V06,12,3.120,1.200,1732,0,0.337,100,0,0.217
KICX20200628-6,KICX20200628_120622_V06,13,3.999,1.200,1735,0,0.615,145,0,0.345
KICX20200628-6,KICX20200628_120622_V06,14,5.098,1.200,1733,0,1.507,212,0,0.521
KICX20200628-6,KICX20200628_120622_V06,15,6.416,1.200,1740,0,0.616,185,0,0.320
KICX20200704-1,KICX20200704_111539_V06,0,0.176,1.200,97,0,10136.209,2,0,10056.182
KICX20200704-1,KICX20200704_111539_V06,2,0.483,1.200,97,0,3676.204,1,0,3673.299
KICX20200704-1,KICX20200704_111539_V06,4,0.879,1.200,98,0,64.679,7,0,47.585
KICX20200704-1,KICX20200704_111539_V06,6,1.318,1.200,98,0,13.133,3,0,4.114
KICX20200704-1,KICX20200704_111539_V06,10,1.802,1.200,50,0,18.371,1,0,15.909
KICX20200704-1,KICX20200704_111539_V06,11,2.417,1.200,50,0,0.104,0,0,0.104
KICX20200704-1,KICX20200704_111539_V06,12,3.120,1.200,48,0,2.969,0,0,2.969
KICX20200704-3,KICX20200704_122145_V06,0,0.176,1.200,12596,0,13.708,3693,0,7.982
KICX20200704-3,KICX20200704_122145_V06,2,0.483,1.200,12596,0,21.818,3751,0,15.353
KICX20200704-3,KICX20200704_122145_V06,4,0.879,1.200,12599,0,9.210,3684,0,1.731
KICX20200704-3,KICX20200704_122145_V06,8,1.318,1.200,12600,0,4.131,3347,0,1.758
KICX20200704-3,KICX20200704_122145_V06,10,1.802,1.200,6302,0,2.147,1201,0,0.786
KICX20200704-3,KICX20200704_122145_V06,11,2.417,1.200,6305,0,2.778,1233,0,0.766
KICX20200704-3,KICX20200704_122145_V06,12,3.120,1.200,6312,0,0.856,1468,0,0.373
KICX20200704-3,KICX20200704_122145_V06,13,3.999,1.200,6315,0,0.823,1306,0,0.434
KICX20200704-3,KICX20200704_122145_V06,14,5.098,1.200,6332,0,0.842,1303,0,0.406
KICX20200704-3,KICX20200704_122145_V06,15,6.416,1.200,6348,0,0.491,1119,0,0.266
KICX20200706-1,KICX20200706_120816_V06,0,0.176,1.200,37227,0,524.388,7535,0,340.206
KICX20200706-1,KICX20200706_120816_V06,2,0.483,1.200,37229,0,316.551,7794,0,198.712
KICX20200706-1,KICX20200706_120816_V06,4,0.879,1.200,37237,0,217.612,8405,0,135.355
