track_id,filename,sweep_idx,sweep_angle,count_scaling,n_roost_pixels,n_refAbove40_pixels,n_refBelow40_animals,n_xcorrAbove0.95_pixels,n_xcorrBelow0.95_refAbove40_pixels,n_xcorrBelow0.95_refBelow40_animals
KFWS20220602-6,KFWS20220602_111532_V06,0,0.483,1.200,6491,0,136400.723,383,0,13454.299
KFWS20220602-6,KFWS20220602_111532_V06,2,0.879,1.200,6498,0,284929.305,800,0,18906.982
KFWS20220605-1,KFWS20220605_114320_V06,0,0.483,1.200,10006,0,28889.647,1101,0,17052.610
KFWS20220605-1,KFWS20220605_114320_V06,2,0.879,1.200,10007,0,8000.536,438,0,4829.287
KFWS20220605-1,KFWS20220605_114320_V06,4,1.318,1.200,10009,0,574.830,65,0,292.605
KFWS20220605-1,KFWS20220605_114320_V06,6,1.802,1.200,5010,0,57.768,0,0,57.768
KFWS20220605-1,KFWS20220605_115021_V06,0,0.483,1.200,7339,0,13465.351,717,0,7847.614
KFWS20220605-1,KFWS20220605_115021_V06,2,0.879,1.200,7340,0,4952.822,351,0,2459.344
KFWS20220605-1,KFWS20220605_115021_V06,4,1.318,1.200,7344,0,473.530,56,0,196.898
KFWS20220605-1,KFWS20220605_115021_V06,6,1.802,1.200,3674,0,128.446,0,0,128.446
KFWS20220610-5,KFWS20220610_120334_V06,0,0.483,1.200,3590,15,15131358.736,3133,0,524005.365
KFWS20220610-5,KFWS20220610_120334_V06,2,0.879,1.200,3579,10,19150461.327,2969,0,1843783.968
KFWS20220610-5,KFWS20220610_120334_V06,4,1.318,1.200,3569,1,11972598.757,3149,0,713343.582
KFWS20220612-1,KFWS20220612_102837_V06,0,0.483,1.200,96,1,350547.668,0,1,350547.668
KFWS20220612-1,KFWS20220612_102837_V06,2,0.879,1.200,95,0,78440.500,2,0,78402.029
KFWS20220612-1,KFWS20220612_102837_V06,4,1.318,1.200,94,0,1086.250,5,0,959.869
KFWS20220612-3,KFWS20220612_102837_V06,0,0.483,1.200,667,28,1039714.928,27,28,1008149.673
KFWS20220612-3,KFWS20220612_102837_V06,2,0.879,1.200,667,0,479434.517,39,0,477707.529
KFWS20220612-3,KFWS20220612_102837_V06,4,1.318,1.200,666,0,155.092,12,0,10.091
KFWS20220612-3,KFWS20220612_102837_V06,6,1.802,1.200,348,0,2.300,0,0,2.300
KFWS20220613-2,KFWS20220613_104746_V06,0,0.483,1.200,939,2,1010445.196,12,2,1009366.042
KFWS20220613-2,KFWS20220613_104746_V06,2,0.879,1.200,936,3,624202.777,7,3,624099.079
KFWS20220613-2,KFWS20220613_104746_V06,4,1.318,1.200,937,0,12117.491,36,0,10899.376
KFWS20220613-2,KFWS20220613_104746_V06,6,1.802,1.200,469,0,244.080,4,0,77.842
KFWS20220613-2,KFWS20220613_110146_V06,0,0.483,1.200,6813,12,1907038.384,433,12,1853423.892
KFWS20220613-2,KFWS20220613_110146_V06,2,0.879,1.200,6816,0,634869.998,334,0,626952.785
KFWS20220613-2,KFWS20220613_110146_V06,4,1.318,1.200,6825,0,38598.398,315,0,31051.072
KFWS20220613-2,KFWS20220613_110146_V06,6,1.802,1.200,3415,0,7496.530,40,0,3462.753
KFWS20220613-2,KFWS20220613_110847_V06,0,0.483,1.200,8103,3,539337.468,482,3,525673.850
KFWS20220613-2,KFWS20220613_110847_V06,2,0.879,1.200,8109,0,71939.636,489,0,59306.259
KFWS20220613-2,KFWS20220613_110847_V06,4,1.318,1.200,8107,0,32211.983,441,0,14958.872
KFWS20220613-2,KFWS20220613_110847_V06,6,1.802,1.200,4056,0,26.170,0,0,26.170
KFWS20220613-7,KFWS20220613_120939_V06,0,0.483,1.200,95,0,136478.237,3,0,122196.313
KFWS20220613-7,KFWS20220613_120939_V06,2,0.879,1.200,95,0,73761.465,5,0,69139.948
KFWS20220613-7,KFWS20220613_120939_V06,4,1.318,1.200,94,0,1083.554,10,0,460.468
KFWS20220613-7,KFWS20220613_121241_V06,0,0.483,1.200,395,7,479697.829,20,7,477050.976
KFWS20220613-7,KFWS20220613_121241_V06,2,0.879,1.200,395,0,234712.766,19,0,224615.958
KFWS20220613-7,KFWS20220613_121241_V06,4,1.318,1.200,397,0,1960.358,18,0,561.879
KFWS20220613-1,KFWS20220613_103231_V06,0,0.483,1.200,3572,0,18587.850,135,0,3722.944
KFWS20220613-1,KFWS20220613_103231_V06,2,0.879,1.200,3573,0,24111.713,186,0,12238.342
KFWS20220613-1,KFWS20220613_103231_V06,4,1.318,1.200,3575,0,2501.958,63,0,973.884
KFWS20220613-3,KFWS20220613_110847_V06,0,0.483,1.200,7750,0,4201.347,1995,0,2278.183
KFWS20220613-3,KFWS20220613_110847_V06,2,0.879,1.200,7753,0,1039.626,1046,0,497.555
KFWS20220613-3,KFWS20220613_110847_V06,4,1.318,1.200,7750,0,97.871,101,0,48.688
KFWS20220613-3,KFWS20220613_110847_V06,6,1.802,1.200,3879,0,26.273,5,0,16.340
KFWS20220613-3,KFWS20220613_110847_V06,7,2.417,1.200,3878,0,39.058,2,0,30.878
KFWS20220613-3,KFWS20220613_110847_V06,8,3.120,1.200,3879,0,36.725,0,0,36.725
KFWS20220613-4,KFWS20220613_110847_V06,0,0.483,1.200,4482,0,16498.971,161,0,9913.546
KFWS20220613-4,KFWS20220613_110847_V06,2,0.879,1.200,4484,0,13829.516,191,0,6400.565
KFWS20220613-4,KFWS20220613_110847_V06,4,1.318,1.200,4483,0,23012.809,212,0,11864.930
KFWS20220613-5,KFWS20220613_110847_V06,0,0.483,1.200,291,0,169381.761,0,0,169381.761
KFWS20220613-5,KFWS20220613_110847_V06,2,0.879,1.200,291,0,18206.182,2,0,18020.713
KFWS20220613-6,KFWS20220613_114331_V06,0,0.483,1.200,282,5,1090120.184,4,4,1090026.114
KFWS20220613-6,KFWS20220613_114331_V06,2,0.879,1.200,283,1,385424.247,4,0,375474.448
KFWS20220613-6,KFWS20220613_114331_V06,4,1.318,1.200,281,0,6010.601,14,0,4441.273
KFWS20220614-3,KFWS20220614_112258_V06,0,0.483,1.200,10796,0,9114.047,550,0,8678.125
KFWS20220614-3,KFWS20220614_112258_V06,2,0.879,1.200,10801,0,1045.412,475,0,771.628
KFWS20220614-3,KFWS20220614_112258_V06,4,1.318,1.200,10808,0,43.054,55,0,29.718
KFWS20220614-3,KFWS20220614_112258_V06,6,1.802,1.200,5408,0,35.292,0,0,35.292
KFWS20220614-3,KFWS20220614_112258_V06,7,2.417,1.200,5405,0,33.669,1,0,29.241
KFWS20220614-3,KFWS20220614_112258_V06,8,3.120,1.200,5408,0,28.942,0,0,28.942
KFWS20220614-3,KFWS20220614_112944_V06,0,0.483,1.200,15173,0,6994.475,1725,0,6024.756
KFWS20220614-3,KFWS20220614_112944_V06,2,0.879,1.200,15180,0,1751.686,1792,0,830.853
KFWS20220614-3,KFWS20220614_112944_V06,4,1.318,1.200,15185,0,114.466,302,0,53.330
KFWS20220614-3,KFWS20220614_112944_V06,6,1.802,1.200,7595,0,26.104,0,0,26.104
KFWS20220614-3,KFWS20220614_112944_V06,7,2.417,1.200,7600,0,35.894,0,0,35.894
KFWS20220614-3,KFWS20220614_112944_V06,8,3.120,1.200,7595,0,34.418,0,0,34.418
KFWS20220614-1,KFWS20220614_104814_V06,0,0.483,1.200,1234,0,7140.582,75,0,5800.570
KFWS20220614-1,KFWS20220614_104814_V06,2,0.879,1.200,1234,0,1335.829,206,0,1263.144
KFWS20220614-1,KFWS20220614_104814_V06,4,1.318,1.200,1235,0,172.787,482,0,114.820
KFWS20220614-1,KFWS20220614_104814_V06,6,1.802,1.200,618,0,10.344,9,0,7.818
KFWS20220614-1,KFWS20220614_104814_V06,7,2.417,1.200,620,0,3.815,2,0,2.829
KFWS20220614-1,KFWS20220614_104814_V06,8,3.120,1.200,621,0,0.741,0,0,0.741
KFWS20220614-1,KFWS20220614_104814_V06,9,3.999,1.200,620,0,0.385,0,0,0.385
KFWS20220614-1,KFWS20220614_104814_V06,10,5.098,1.200,623,0,1.796,3,0,1.278
KFWS20220614-1,KFWS20220614_104814_V06,11,6.416,1.200,621,0,0.783,0,0,0.783
KFWS20220614-5,KFWS20220614_112944_V06,0,0.483,1.200,2410,0,5749.376,19,0,5733.366
KFWS20220614-5,KFWS20220614_112944_V06,2,0.879,1.200,2411,0,588.875,12,0,583.240
KFWS20220614-5,KFWS20220614_112944_V06,4,1.318,1.200,2408,0,11.166,4,0,4.280
KFWS20220614-5,KFWS20220614_112944_V06,6,1.802,1.200,1208,0,2.982,0,0,2.982
KFWS20220614-5,KFWS20220614_112944_V06,7,2.417,1.200,1209,0,2.988,0,0,2.988
KFWS20220614-5,KFWS20220614_112944_V06,8,3.120,1.200,1210,0,6.768,0,0,6.768
KFWS20220615-2,KFWS20220615_112917_V06,0,0.483,1.200,1937,0,12459.065,10,0,12407.352
KFWS20220615-2,KFWS20220615_112917_V06,2,0.879,1.200,1940,0,2013.036,3,0,2011.047
KFWS20220615-2,KFWS20220615_112917_V06,4,1.318,1.200,1939,0,2.448,0,0,2.448
KFWS20220615-2,KFWS20220615_112917_V06,6,1.802,1.200,971,0,2.454,0,0,2.454
KFWS20220615-2,KFWS20220615_112917_V06,7,2.417,1.200,970,0,2.454,0,0,2.454
KFWS20220615-2,KFWS20220615_112917_V06,8,3.120,1.200,968,0,2.451,0,0,2.451
KFWS20220615-2,KFWS20220615_113611_V06,0,0.483,1.200,4335,0,11687.592,20,0,11663.506
KFWS20220615-2,KFWS20220615_113611_V06,2,0.879,1.200,4334,0,1417.336,12,0,1407.719
KFWS20220615-2,KFWS20220615_113611_V06,4,1.318,1.200,4332,0,5.514,0,0,5.514
KFWS20220615-2,KFWS20220615_113611_V06,6,1.802,1.200,2169,0,19.715,0,0,19.715
KFWS20220615-2,KFWS20220615_113611_V06,7,2.417,1.200,2170,0,22.627,0,0,22.627
KFWS20220615-2,KFWS20220615_113611_V06,8,3.120,1.200,2172,0,10.650,0,0,10.650
KFWS20220615-2,KFWS20220615_114306_V06,0,0.483,1.200,6354,0,3038.653,82,0,2981.523
KFWS20220615-2,KFWS20220615_114306_V06,2,0.879,1.200,6351,0,361.382,26,0,345.171
KFWS20220615-2,KFWS20220615_114306_V06,4,1.318,1.200,6350,0,9.152,0,0,9.152
KFWS20220615-2,KFWS20220615_114306_V06,6,1.802,1.200,3175,0,15.133,0,0,15.133
KFWS20220615-2,KFWS20220615_114306_V06,7,2.417,1.200,3180,0,10.165,0,0,10.165
KFWS20220615-2,KFWS20220615_114306_V06,8,3.120,1.200,3181,0,7.142,0,0,7.142
KFWS20220615-2,KFWS20220615_115000_V06,0,0.483,1.200,7305,0,1012.796,48,0,967.499
KFWS20220615-2,KFWS20220615_115000_V06,2,0.879,1.200,7309,0,206.986,14,0,188.728
KFWS20220615-2,KFWS20220615_115000_V06,4,1.318,1.200,7312,0,8.904,0,0,8.904
KFWS20220615-2,KFWS20220615_115000_V06,6,1.802,1.200,3659,0,8.925,0,0,8.925
KFWS20220615-2,KFWS20220615_115000_V06,7,2.417,1.200,3660,0,15.620,0,0,15.620
KFWS20220615-2,KFWS20220615_115000_V06,8,3.120,1.200,3667,0,11.836,0,0,11.836
KFWS20220615-1,KFWS20220615_112222_V06,0,0.483,1.200,707,0,997.162,23,0,973.145
KFWS20220615-1,KFWS20220615_112222_V06,2,0.879,1.200,711,0,54.678,6,0,47.420
KFWS20220615-1,KFWS20220615_112222_V06,4,1.318,1.200,709,0,0.916,0,0,0.916
KFWS20220615-1,KFWS20220615_112222_V06,6,1.802,1.200,332,0,0.857,0,0,0.857
KFWS20220615-1,KFWS20220615_112222_V06,7,2.417,1.200,331,0,0.857,0,0,0.857
KFWS20220615-1,KFWS20220615_112222_V06,8,3.120,1.200,332,0,0.861,0,0,0.861
KFWS20220615-1,KFWS20220615_112917_V06,0,0.483,1.200,5032,0,10031.400,134,0,9850.590
KFWS20220615-1,KFWS20220615_112917_V06,2,0.879,1.200,5035,0,832.586,46,0,787.275
KFWS20220615-1,KFWS20220615_112917_V06,4,1.318,1.200,5039,0,14.239,6,0,8.182
KFWS20220615-1,KFWS20220615_112917_V06,6,1.802,1.200,2516,0,19.878,0,0,19.878
KFWS20220615-1,KFWS20220615_112917_V06,7,2.417,1.200,2520,0,10.552,0,0,10.552
KFWS20220615-1,KFWS20220615_112917_V06,8,3.120,1.200,2525,0,9.025,0,0,9.025
KFWS20220615-1,KFWS20220615_113611_V06,0,0.483,1.200,14148,0,16367.389,625,0,15463.304
KFWS20220615-1,KFWS20220615_113611_V06,2,0.879,1.200,14155,0,1361.703,188,0,1249.588
KFWS20220615-1,KFWS20220615_113611_V06,4,1.318,1.200,14155,0,21.233,4,0,16.794
KFWS20220615-1,KFWS20220615_113611_V06,6,1.802,1.200,7078,0,16.619,0,0,16.619
KFWS20220615-1,KFWS20220615_113611_V06,7,2.417,1.200,7084,0,30.792,0,0,30.792
KFWS20220615-1,KFWS20220615_113611_V06,8,3.120,1.200,7091,0,52.677,0,0,52.677
KFWS20220616-2,KFWS20220616_120653_V06,0,0.483,1.200,1675,0,18502.289,169,0,17915.237
KFWS20220616-2,KFWS20220616_120653_V06,2,0.879,1.200,1677,0,2543.274,148,0,2323.982
KFWS20220616-2,KFWS20220616_120653_V06,4,1.318,1.200,1680,0,38.486,12,0,30.422
KFWS20220616-2,KFWS20220616_120653_V06,6,1.802,1.200,839,0,12.352,0,0,12.352
KFWS20220616-2,KFWS20220616_120653_V06,7,2.417,1.200,839,0,11.789,0,0,11.789
KFWS20220616-2,KFWS20220616_120653_V06,8,3.120,1.200,842,0,1.930,0,0,1.930
KFWS20220617-1,KFWS20220617_103429_V06,0,0.483,1.200,2559,0,46966.606,237,0,45956.585
KFWS20220617-1,KFWS20220617_103429_V06,2,0.879,1.200,2560,0,6754.547,125,0,6401.812
KFWS20220617-1,KFWS20220617_103429_V06,4,1.318,1.200,2558,0,1284.882,652,0,665.406
KFWS20220617-1,KFWS20220617_103429_V06,6,1.802,1.200,1284,0,1210.696,180,0,403.915
KFWS20220617-1,KFWS20220617_103429_V06,7,2.417,1.200,1278,0,720.040,145,0,174.114
KFWS20220617-1,KFWS20220617_103429_V06,8,3.120,1.200,1278,0,21.560,3,0,15.259
KFWS20220617-1,KFWS20220617_104130_V06,0,0.483,1.200,6436,0,40347.226,547,0,38851.657
KFWS20220617-1,KFWS20220617_104130_V06,2,0.879,1.200,6437,0,11086.763,364,0,10501.035
KFWS20220617-1,KFWS20220617_104130_V06,4,1.318,1.200,6437,0,4757.543,1518,0,2532.735
KFWS20220617-1,KFWS20220617_104130_V06,6,1.802,1.200,3222,0,2379.441,328,0,794.339
KFWS20220617-1,KFWS20220617_104130_V06,7,2.417,1.200,3223,0,2177.113,474,0,576.820
KFWS20220617-1,KFWS20220617_104130_V06,8,3.120,1.200,3227,0,332.192,144,0,77.269
KFWS20220617-1,KFWS20220617_104831_V06,0,0.483,1.200,10217,0,32116.078,868,0,28992.462
KFWS20220617-1,KFWS20220617_104831_V06,2,0.879,1.200,10222,0,13791.109,650,0,12401.098
KFWS20220617-1,KFWS20220617_104831_V06,4,1.318,1.200,10222,0,9992.588,2526,0,5170.007
KFWS20220617-1,KFWS20220617_104831_V06,6,1.802,1.200,5114,0,4023.698,470,0,1217.070
KFWS20220617-1,KFWS20220617_104831_V06,7,2.417,1.200,5118,0,3626.421,848,0,838.348
KFWS20220617-1,KFWS20220617_104831_V06,8,3.120,1.200,5121,0,1128.933,422,0,213.046
KFWS20220617-1,KFWS20220617_110231_V06,0,0.483,1.200,16305,0,12537.536,1186,0,9969.600
KFWS20220617-1,KFWS20220617_110231_V06,2,0.879,1.200,16311,0,11234.954,1303,0,8077.203
KFWS20220617-1,KFWS20220617_110231_V06,4,1.318,1.200,16317,0,24225.485,4980,0,10198.723
KFWS20220617-1,KFWS20220617_110231_V06,6,1.802,1.200,8162,0,7445.327,701,0,2867.363
KFWS20220617-1,KFWS20220617_110231_V06,7,2.417,1.200,8171,0,5515.260,1191,0,1284.985
KFWS20220617-1,KFWS20220617_110231_V06,8,3.120,1.200,8176,0,2565.176,729,0,517.553
KFWS20220617-2,KFWS20220617_110231_V06,0,0.483,1.200,5454,0,16582.873,525,0,15942.856
KFWS20220617-2,KFWS20220617_110231_V06,2,0.879,1.200,5458,0,8292.048,900,0,7932.349
KFWS20220617-2,KFWS20220617_110231_V06,4,1.318,1.200,5457,0,3319.379,832,0,3135.578
KFWS20220617-2,KFWS20220617_110231_V06,6,1.802,1.200,2726,0,301.674,41,0,180.093
KFWS20220617-2,KFWS20220617_110231_V06,7,2.417,1.200,2727,0,16.457,7,0,14.213
KFWS20220617-2,KFWS20220617_110231_V06,8,3.120,1.200,2728,0,368.206,367,0,75.497
KFWS20220617-2,KFWS20220617_110231_V06,9,3.999,1.200,2733,0,819.732,1104,0,191.580
KFWS20220617-2,KFWS20220617_110231_V06,10,5.098,1.200,2736,0,549.899,1079,0,110.355
KFWS20220617-2,KFWS20220617_110231_V06,11,6.416,1.200,2746,0,113.953,285,0,21.752
KFWS20220618-3,KFWS20220618_104920_V06,0,0.483,1.200,1454,0,30945.235,93,0,30694.943
KFWS20220618-3,KFWS20220618_104920_V06,2,0.879,1.200,1456,0,5030.784,173,0,4859.084
KFWS20220618-3,KFWS20220618_104920_V06,4,1.318,1.200,1459,0,529.578,381,0,259.126
KFWS20220618-3,KFWS20220618_104920_V06,6,1.802,1.200,729,0,507.562,80,0,128.470
KFWS20220618-3,KFWS20220618_104920_V06,7,2.417,1.200,729,0,1179.803,176,0,202.194
KFWS20220618-3,KFWS20220618_104920_V06,8,3.120,1.200,727,0,1.590,0,0,1.590
KFWS20220618-3,KFWS20220618_110320_V06,0,0.483,1.200,5530,0,22830.161,766,0,20952.073
KFWS20220618-3,KFWS20220618_110320_V06,2,0.879,1.200,5530,0,10447.426,1063,0,9146.827
KFWS20220618-3,KFWS20220618_110320_V06,4,1.318,1.200,5528,0,3880.304,1650,0,2324.737
KFWS20220618-3,KFWS20220618_110320_V06,6,1.802,1.200,2771,0,3658.313,431,0,1033.254
KFWS20220618-3,KFWS20220618_110320_V06,7,2.417,1.200,2769,0,6194.115,944,0,1101.001
KFWS20220618-3,KFWS20220618_110320_V06,8,3.120,1.200,2770,0,1262.016,282,0,159.335
KFWS20220618-3,KFWS20220618_111020_V06,0,0.483,1.200,13706,0,79748.424,1859,0,70205.236
KFWS20220618-3,KFWS20220618_111020_V06,2,0.879,1.200,13703,0,37128.659,2249,0,31204.481
KFWS20220618-3,KFWS20220618_111020_V06,4,1.318,1.200,13703,0,17672.163,4579,0,10270.019
KFWS20220618-3,KFWS20220618_111020_V06,6,1.802,1.200,6857,0,8323.654,911,0,2227.302
KFWS20220618-3,KFWS20220618_111020_V06,7,2.417,1.200,6863,0,10606.056,1818,0,1858.640
KFWS20220618-3,KFWS20220618_111020_V06,8,3.120,1.200,6874,0,5562.975,1095,0,737.322
KFWS20220618-4,KFWS20220618_110320_V06,0,0.483,1.200,4606,0,35116.157,101,0,33709.654
KFWS20220618-4,KFWS20220618_110320_V06,2,0.879,1.200,4602,0,17876.651,206,0,17474.650
KFWS20220618-4,KFWS20220618_110320_V06,4,1.318,1.200,4605,0,8391.495,636,0,8123.623
KFWS20220618-4,KFWS20220618_110320_V06,6,1.802,1.200,2302,0,1794.473,189,0,1470.791
KFWS20220618-4,KFWS20220618_110320_V06,7,2.417,1.200,2305,0,381.475,363,0,213.175
KFWS20220618-4,KFWS20220618_110320_V06,8,3.120,1.200,2306,0,920.134,1181,0,208.406
KFWS20220618-4,KFWS20220618_110320_V06,9,3.999,1.200,2309,0,2396.461,1221,0,220.733
KFWS20220618-4,KFWS20220618_110320_V06,10,5.098,1.200,2315,0,1445.959,1240,0,176.164
KFWS20220618-4,KFWS20220618_110320_V06,11,6.416,1.200,2322,0,260.500,487,0,30.265
KFWS20220618-4,KFWS20220618_111020_V06,0,0.483,1.200,10373,0,31613.762,140,0,30018.435
KFWS20220618-4,KFWS20220618_111020_V06,2,0.879,1.200,10375,0,20167.933,355,0,19348.060
KFWS20220618-4,KFWS20220618_111020_V06,4,1.318,1.200,10376,0,13260.922,1034,0,12271.146
KFWS20220618-4,KFWS20220618_111020_V06,6,1.802,1.200,5191,0,4596.358,695,0,3498.523
KFWS20220618-4,KFWS20220618_111020_V06,7,2.417,1.200,5198,0,928.956,540,0,562.489
KFWS20220618-4,KFWS20220618_111020_V06,8,3.120,1.200,5203,0,3911.525,1914,0,933.594
KFWS20220618-4,KFWS20220618_111020_V06,9,3.999,1.200,5205,0,4200.574,2438,0,501.277
KFWS20220618-4,KFWS20220618_111020_V06,10,5.098,1.200,5213,0,2668.092,2353,0,289.640
KFWS20220618-4,KFWS20220618_111020_V06,11,6.416,1.200,5220,0,1110.995,1552,0,120.114
KFWS20220618-1,KFWS20220618_103521_V06,0,0.483,1.200,221,0,4008.650,5,0,3909.563
KFWS20220618-1,KFWS20220618_103521_V06,2,0.879,1.200,221,0,818.529,2,0,758.970
KFWS20220618-1,KFWS20220618_103521_V06,4,1.318,1.200,221,0,55.317,38,0,50.206
KFWS20220618-1,KFWS20220618_103521_V06,6,1.802,1.200,106,0,28.855,37,0,13.589
KFWS20220618-1,KFWS20220618_103521_V06,7,2.417,1.200,103,0,78.743,58,0,24.301
KFWS20220618-1,KFWS20220618_103521_V06,8,3.120,1.200,107,0,26.827,32,0,10.259
KFWS20220618-1,KFWS20220618_103521_V06,9,3.999,1.200,107,0,50.441,41,0,22.229
KFWS20220618-1,KFWS20220618_103521_V06,10,5.098,1.200,108,0,177.160,94,0,12.231
KFWS20220618-1,KFWS20220618_103521_V06,11,6.416,1.200,108,0,0.061,0,0,0.061
KFWS20220618-5,KFWS20220618_111721_V06,0,0.483,1.200,3071,0,4120.450,103,0,3528.785
KFWS20220618-5,KFWS20220618_111721_V06,2,0.879,1.200,3074,0,2534.386,165,0,1884.390
KFWS20220618-5,KFWS20220618_111721_V06,4,1.318,1.200,3075,0,1264.860,248,0,565.831
KFWS20220618-5,KFWS20220618_111721_V06,6,1.802,1.200,1485,0,7.474,0,0,7.474
KFWS20220619-1,KFWS20220619_102838_V06,0,0.483,1.200,108,0,1092.783,0,0,1092.783
KFWS20220619-1,KFWS20220619_102838_V06,2,0.879,1.200,108,0,332.084,0,0,332.084
KFWS20220619-1,KFWS20220619_102838_V06,4,1.318,1.200,108,0,55.545,1,0,55.247
KFWS20220619-1,KFWS20220619_102838_V06,6,1.802,1.200,48,0,29.575,9,0,24.820
KFWS20220619-1,KFWS20220619_102838_V06,7,2.417,1.200,47,0,29.525,14,0,20.699
KFWS20220619-1,KFWS20220619_102838_V06,8,3.120,1.200,46,0,32.657,16,0,19.703
KFWS20220619-1,KFWS20220619_102838_V06,9,3.999,1.200,44,0,45.171,22,0,19.371
KFWS20220619-1,KFWS20220619_102838_V06,10,5.098,1.200,44,0,8.978,15,0,4.105
KFWS20220619-1,KFWS20220619_102838_V06,11,6.416,1.200,48,0,0.027,0,0,0.027
KFWS20220619-1,KFWS20220619_103539_V06,0,0.483,1.200,969,0,8921.933,4,0,8887.147
KFWS20220619-1,KFWS20220619_103539_V06,2,0.879,1.200,969,0,4556.660,7,0,4387.545
KFWS20220619-1,KFWS20220619_103539_V06,4,1.318,1.200,970,0,677.298,9,0,672.539
KFWS20220619-1,KFWS20220619_103539_V06,6,1.802,1.200,488,0,324.766,83,0,266.181
KFWS20220619-1,KFWS20220619_103539_V06,7,2.417,1.200,486,0,276.685,102,0,204.609
KFWS20220619-1,KFWS20220619_103539_V06,8,3.120,1.200,488,0,368.861,152,0,236.799
KFWS20220619-1,KFWS20220619_103539_V06,9,3.999,1.200,491,0,406.106,189,0,231.220
KFWS20220619-1,KFWS20220619_103539_V06,10,5.098,1.200,486,0,172.432,197,0,77.847
KFWS20220619-1,KFWS20220619_103539_V06,11,6.416,1.200,489,0,1.832,2,0,1.392
KFWS20220619-1,KFWS20220619_104239_V06,0,0.483,1.200,1277,0,9733.911,7,0,9474.259
KFWS20220619-1,KFWS20220619_104239_V06,2,0.879,1.200,1274,0,6329.191,17,0,6049.285
KFWS20220619-1,KFWS20220619_104239_V06,4,1.318,1.200,1273,0,1734.140,25,0,1708.448
KFWS20220619-1,KFWS20220619_104239_V06,6,1.802,1.200,634,0,521.247,107,0,434.658
KFWS20220619-1,KFWS20220619_104239_V06,7,2.417,1.200,634,0,374.200,167,0,253.429
KFWS20220619-1,KFWS20220619_104239_V06,8,3.120,1.200,633,0,395.945,221,0,239.389
KFWS20220619-1,KFWS20220619_104239_V06,9,3.999,1.200,633,0,504.265,283,0,249.708
KFWS20220619-1,KFWS20220619_104239_V06,10,5.098,1.200,629,0,283.199,274,0,98.169
KFWS20220619-1,KFWS20220619_104239_V06,11,6.416,1.200,637,0,5.236,12,0,3.209
KFWS20220619-1,KFWS20220619_104939_V06,0,0.483,1.200,1830,0,27616.023,17,0,27423.981
KFWS20220619-1,KFWS20220619_104939_V06,2,0.879,1.200,1831,0,13282.314,17,0,13044.864
KFWS20220619-1,KFWS20220619_104939_V06,4,1.318,1.200,1832,0,2279.095,36,0,2251.362
KFWS20220619-1,KFWS20220619_104939_V06,6,1.802,1.200,914,0,700.693,245,0,493.007
KFWS20220619-1,KFWS20220619_104939_V06,7,2.417,1.200,916,0,473.320,298,0,257.729
KFWS20220619-1,KFWS20220619_104939_V06,8,3.120,1.200,914,0,530.034,359,0,286.851
KFWS20220619-1,KFWS20220619_104939_V06,9,3.999,1.200,920,0,755.714,459,0,315.991
KFWS20220619-1,KFWS20220619_104939_V06,10,5.098,1.200,917,0,444.131,366,0,175.183
KFWS20220619-1,KFWS20220619_104939_V06,11,6.416,1.200,920,0,13.371,55,0,4.361
KFWS20220619-1,KFWS20220619_110340_V06,0,0.483,1.200,3053,0,39245.265,54,0,25389.351
KFWS20220619-1,KFWS20220619_110340_V06,2,0.879,1.200,3052,0,13336.618,69,0,12968.551
KFWS20220619-1,KFWS20220619_110340_V06,4,1.318,1.200,3049,0,5691.849,323,0,5546.513
KFWS20220619-1,KFWS20220619_110340_V06,6,1.802,1.200,1530,0,1864.489,168,0,1638.501
KFWS20220619-1,KFWS20220619_110340_V06,7,2.417,1.200,1529,0,848.937,330,0,636.559
KFWS20220619-1,KFWS20220619_110340_V06,8,3.120,1.200,1531,0,998.010,732,0,423.104
KFWS20220619-1,KFWS20220619_110340_V06,9,3.999,1.200,1535,0,1116.331,799,0,398.610
KFWS20220619-1,KFWS20220619_110340_V06,10,5.098,1.200,1538,0,528.454,539,0,137.980
KFWS20220619-1,KFWS20220619_110340_V06,11,6.416,1.200,1540,0,16.095,41,0,7.775
KFWS20220619-1,KFWS20220619_111040_V06,0,0.483,1.200,7008,0,22612.778,69,0,21921.058
KFWS20220619-1,KFWS20220619_111040_V06,2,0.879,1.200,7007,0,9185.282,202,0,8826.007
KFWS20220619-1,KFWS20220619_111040_V06,4,1.318,1.200,7011,0,5534.609,755,0,5170.019
KFWS20220619-1,KFWS20220619_111040_V06,6,1.802,1.200,3507,0,1594.893,346,0,1200.070
KFWS20220619-1,KFWS20220619_111040_V06,7,2.417,1.200,3507,0,1389.359,666,0,858.572
KFWS20220619-1,KFWS20220619_111040_V06,8,3.120,1.200,3507,0,2331.641,1568,0,1130.515
KFWS20220619-1,KFWS20220619_111040_V06,9,3.999,1.200,3514,0,2171.861,1847,0,686.412
KFWS20220619-1,KFWS20220619_111040_V06,10,5.098,1.200,3522,0,1257.661,1334,0,369.250
KFWS20220619-1,KFWS20220619_111040_V06,11,6.416,1.200,3532,0,330.456,636,0,75.917
KFWS20220619-8,KFWS20220619_111741_V06,0,0.483,1.200,275,0,18842.280,0,0,18842.280
