filename,local_time
KMQT20230601_093500_V06,20230601_053500
KMQT20230601_093938_V06,20230601_053938
KMQT20230601_094415_V06,20230601_054415
KMQT20230601_094852_V06,20230601_054852
KMQT20230601_095445_V06,20230601_055445
KMQT20230601_100400_V06,20230601_060400
KMQT20230601_100838_V06,20230601_060838
KMQT20230601_101315_V06,20230601_061315
KMQT20230601_101752_V06,20230601_061752
KMQT20230601_102229_V06,20230601_062229
KMQT20230601_102659_V06,20230601_062659
KMQT20230601_103137_V06,20230601_063137
KMQT20230601_103615_V06,20230601_063615
KMQT20230601_104045_V06,20230601_064045
KMQT20230601_104516_V06,20230601_064516
KMQT20230601_104953_V06,20230601_064953
KMQT20230601_105423_V06,20230601_065423
KMQT20230601_110330_V06,20230601_070330
KMQT20230601_110800_V06,20230601_070800
KMQT20230601_111230_V06,20230601_071230
KMQT20230601_111700_V06,20230601_071700
KMQT20230601_112130_V06,20230601_072130
KMQT20230601_112600_V06,20230601_072600
KMQT20230601_113031_V06,20230601_073031
KMQT20230602_093456_V06,20230602_053456
KMQT20230602_094153_V06,20230602_054153
KMQT20230602_094620_V06,20230602_054620
KMQT20230602_095037_V06,20230602_055037
KMQT20230602_095454_V06,20230602_055454
KMQT20230602_100526_V06,20230602_060526
KMQT20230602_101017_V06,20230602_061017
KMQT20230602_101508_V06,20230602_061508
KMQT20230602_101945_V06,20230602_061945
KMQT20230602_102437_V06,20230602_062437
KMQT20230602_102914_V06,20230602_062914
KMQT20230602_103351_V06,20230602_063351
KMQT20230602_103843_V06,20230602_063843
KMQT20230602_104334_V06,20230602_064334
KMQT20230602_104825_V06,20230602_064825
KMQT20230602_105305_V06,20230602_065305
KMQT20230602_110224_V06,20230602_070224
KMQT20230602_110705_V06,20230602_070705
KMQT20230602_111146_V06,20230602_071146
KMQT20230602_111626_V06,20230602_071626
KMQT20230602_112106_V06,20230602_072106
KMQT20230602_112546_V06,20230602_072546
KMQT20230602_113027_V06,20230602_073027
KMQT20230603_093149_V06,20230603_053149
KMQT20230603_093836_V06,20230603_053836
KMQT20230603_094524_V06,20230603_054524
KMQT20230603_095211_V06,20230603_055211
KMQT20230603_100659_V06,20230603_060659
KMQT20230603_101346_V06,20230603_061346
KMQT20230603_101812_V06,20230603_061812
KMQT20230603_102242_V06,20230603_062242
KMQT20230603_102712_V06,20230603_062712
KMQT20230603_103143_V06,20230603_063143
KMQT20230603_103613_V06,20230603_063613
KMQT20230603_104043_V06,20230603_064043
KMQT20230603_104522_V06,20230603_064522
KMQT20230603_104943_V06,20230603_064943
KMQT20230603_105405_V06,20230603_065405
KMQT20230603_110307_V06,20230603_070307
KMQT20230603_110737_V06,20230603_070737
KMQT20230603_111209_V06,20230603_071209
KMQT20230603_111639_V06,20230603_071639
KMQT20230603_112109_V06,20230603_072109
KMQT20230603_112540_V06,20230603_072540
KMQT20230604_093116_V06,20230604_053116
KMQT20230604_093820_V06,20230604_053820
KMQT20230604_094522_V06,20230604_054522
KMQT20230604_095226_V06,20230604_055226
KMQT20230604_100632_V06,20230604_060632
KMQT20230604_101446_V06,20230604_061446
KMQT20230604_102149_V06,20230604_062149
KMQT20230604_102852_V06,20230604_062852
KMQT20230604_103555_V06,20230604_063555
KMQT20230604_104258_V06,20230604_064258
KMQT20230604_105001_V06,20230604_065001
KMQT20230604_110407_V06,20230604_070407
KMQT20230604_111058_V06,20230604_071058
KMQT20230604_111751_V06,20230604_071751
KMQT20230604_112443_V06,20230604_072443
KMQT20230605_093257_V06,20230605_053257
KMQT20230605_093949_V06,20230605_053949
KMQT20230605_094647_V06,20230605_054647
KMQT20230605_100041_V06,20230605_060041
KMQT20230605_100737_V06,20230605_060737
KMQT20230605_101440_V06,20230605_061440
KMQT20230605_102253_V06,20230605_062253
KMQT20230605_102957_V06,20230605_062957
KMQT20230605_103659_V06,20230605_063659
KMQT20230605_104402_V06,20230605_064402
KMQT20230605_105105_V06,20230605_065105
KMQT20230605_110510_V06,20230605_070510
KMQT20230605_111214_V06,20230605_071214
KMQT20230605_111917_V06,20230605_071917
KMQT20230605_112619_V06,20230605_072619
KMQT20230606_093126_V06,20230606_053126
KMQT20230606_093819_V06,20230606_053819
KMQT20230606_094516_V06,20230606_054516
KMQT20230606_095213_V06,20230606_055213
KMQT20230606_100606_V06,20230606_060606
KMQT20230606_101258_V06,20230606_061258
KMQT20230606_101950_V06,20230606_061950
KMQT20230606_102643_V06,20230606_062643
KMQT20230606_103446_V06,20230606_063446
KMQT20230606_104129_V06,20230606_064129
KMQT20230606_104821_V06,20230606_064821
KMQT20230606_110226_V06,20230606_070226
KMQT20230606_110929_V06,20230606_070929
KMQT20230606_111632_V06,20230606_071632
KMQT20230606_112335_V06,20230606_072335
KMQT20230607_093247_V06,20230607_053247
KMQT20230607_093945_V06,20230607_053945
KMQT20230607_094643_V06,20230607_054643
KMQT20230607_100043_V06,20230607_060043
KMQT20230607_100736_V06,20230607_060736
KMQT20230607_101433_V06,20230607_061433
KMQT20230607_102126_V06,20230607_062126
